,number,sentences
1491,sg,"ಭಾರತದ ಅತ್ಯಂತ ಹಳೆಯ ತಹಶೀಲ್ ರಾಮನಗರ , ಜಮ್ಮುವಿನಿಂದ 102 ಕಿಲೋಮೀಟರ್ ದೂರದಲ್ಲಿ ಇದೆ ."
1492,sg,ರಾಮನಗರ ತಹಶೀಲಿನ ಮುಖ್ಯ ಆಕರ್ಷಣೆ ಇಲ್ಲಿ ರಚಿಸಲ್ಪಟ್ಟ ಕೋಟೆ ಮತ್ತು ಮಂದಿರ ಆಗಿದೆ .
1493,sg,ಜಮ್ಮು ಶ್ರೀನಗರ ರಾಷ್ಟ್ರೀಯ ಹೆದ್ದಾರಿಯಲ್ಲಿ ಕುದ್ ಮತ್ತು ಬಟೋಟ್ ಪಟ್ಟಣಗಳ ನಡುವೆ ಜಮ್ಮುವಿನಿಂದ 122 ಕಿಲೋಮೀಟರ್ ದೂರದಲ್ಲಿ ಇದೆ ಪಟ್ನಿಟಾಪ್ .
1494,,ಪಟ್ನಿಟಾಪ್ ಪ್ರದೇಶ ಸೌಂದರ್ಯದ ಪ್ರತೀಕ ಎಂದು ಪರಿಗಣಿಸಲ್ಪಟ್ಟಿದೆ .
1495,sg,ದೇವದಾರಿನ ದಟ್ಟ ಕಾಡುಗಳು ಮತ್ತು ಹಸಿರು ಹುಲ್ಲಿನ ಸುಂದರ ಇಳಿಜಾರು ಪಟ್ನಿಟಾಪ್ ಬರುವ ಪ್ರವಾಸಿಗರ ಮನಸ್ಸನ್ನು ಸಂತೋಷಿಸಲು ಸಾಕು .
1496,sg,ಉಧಂಪುರ್ ಜಿಲ್ಲೆಯಲ್ಲಿ ಬರುವ ಪಟ್ನಿಟಾಪ್ ಪ್ರದೇಶ ಒಂದು ಪ್ರಸಿದ್ಧ ವಿಹಾರ ಧಾಮದಲ್ಲಿ ರೂಪಾಂತರಗೊಳ್ಳುತ್ತದೆ .
1497,sg,ಪಟ್ನಿಟಾಪ್ ಅಭಿವೃದ್ಧಿ ಪ್ರಾಧಿಕಾರವು ಈ ಸ್ಥಳವನ್ನು ಮತ್ತೂ ಹೆಚ್ಚು ಆಕರ್ಷಣೆ ಪಡಿಸಲು ಇದರ ಸ್ನಸ್ರ್ ಇತ್ಯಾದಿ ಸ್ಥಳಗಳ ಅಭಿವೃದ್ಧಿ ಮಾಡಿದೆ .
1498,sg,ಪಟ್ನಿಟಾಪ್ ಮೇಲೆ ವರ್ಷಪೂರ್ತಿ ಪ್ರವಾಸಿಗರ ದಟ್ಟಣೆ ಇರುತ್ತದೆ .
1499,sg,ಸ್ಕ್ರಿಯಿಂಗ್ ನ ಉತ್ಸಾಹಿಗಳಿಗಾಗಿ ಪಟ್ನಿಟಾಪ್ ಸ್ಥಳ ತುಂಬಾ ರೋಮಾಂಚಕ ಆಗಿದೆ .
1500,sg,ಚಳಿಗಾಲದಲ್ಲಿ ಪಟ್ನಿಟಾಪ್ ನಲ್ಲಿ ಸ್ಕ್ರಿಯಿಂಗ್ ನ ಆಯೋಜನೆ ಮಾಡಲಾಗುತ್ತದೆ .
1501,,ಸ್ಕ್ರಿಯಿಂಗ್ ನ್ನು ಪ್ರೋತ್ಸಾಹ ನೀಡುವ ಉದ್ದೇಶದಿಂದ ಇಲ್ಲಿ ಈಗ ಕಲಿಯಲು ಕೂಡ ವ್ಯವಸ್ಥೆ ಮಾಡಲಾಗಿದೆ ಇದು ನೀವು ಒಂದು ವಾರದೊಳಗೆ ಕಲಿಯಬಹುದಾಗಿದೆ .
1502,sg,ಪಟ್ನಿಟಾಪ್ ನಿಂದ ಸಂಪರ್ಕಿಸಿದ ನೃತ್ಯಟಪ್ ನ ನಂತರ ಸಿಗುವ ಸುಂದರ ಸ್ನಸ್ರ್ ಕಣಿವೆಯನ್ನು ವಿಶೇಷವಾಗಿ ಪ್ಯಾರಾಗ್ಲೈಡಿಂಗ್ ಗಾಗಿ ಅಭಿವೃದ್ಧಿಪಡಿಸಲಾಗಿದೆ .
1503,sg,ಪಟ್ನಿಟಾಪ್ ನಲ್ಲಿ ಒಂದು ಸುಂದರ ಸರೋವರ ಕೂಡ ಇದೆ .
1504,pl,ಸರೋವರದ ದಡದಲ್ಲಿ ಕುಳಿತುಕೊಂಡು ಪ್ರವಾಸಿಗರು ಪ್ರಕೃತಿಯ ಸುಂದರ ದೃಶ್ಯಾವಳಿಯ ಮೋಜನ್ನು ಸವಿಯುತ್ತಾರೆ .
1505,sg,ಪಟ್ನಿಟಾಪ್ ನಲ್ಲಿ ಪ್ಯಾರಾಗ್ಲೈಡಿಂಗ್ ಕಲಿಯಲು ಬರುವ ದೇಶಿ - ವಿದೇಶಿ ಪ್ರವಾಸಿಗರಿಗೆ ಆಡಲು ಗೋಲ್ಫಾದ ಒಂದು ಮೈದಾನ ಕೂಡ ಇದೆ .
1506,sg,ಝೀಲಂ ನದಿಯ ತೀರಾದಲ್ಲಿ ಇರುವ ಶ್ರೀನಗರ ಜಮ್ಮು - ಕಾಶ್ಮೀರ ಪ್ರದೇಶದ ಒಂದು ಸುಂದರ ನಗರ ಆಗಿದೆ .
1507,pl,ಶ್ರೀನಗರದಲ್ಲಿ ಎಲ್ಲೆಡೆ ಪ್ರಕೃತಿಯ ಸುಂದರ ದೃಶ್ಯಗಳು ನೋಡಲು ಸಿಗುತ್ತವೆ .
1508,,"ಎಲ್ಲೆಡೆ ಹರಡಿದ ಹಸಿರು , ಹಸಿರು ಕಣಿವೆಗಳು , ಪರ್ವತಗಳನ್ನು ಮುತ್ತಿಡುವ ಸರೋವರಗಳ ನೈಸರ್ಗಿಕ ಸೌಂದರ್ಯ ಮತ್ತು ಅದರ ಮೇಲೆ ತೆರೆದ ನೀಲಿ ಆಕಾಶ ."
1509,sg,"ಹೌದು , ಭೂಮಿಯ ಸ್ವರ್ಗ ಯಾನೆ ಶ್ರೀನಗರದ ಇದು ವಿಶೇಷ ಮಾತ್ರವೇ ಇದೆ ."
1510,sg,ಆ ಶ್ರೀನಗರವನ್ನು ಇತರ ಪರ್ವತ ಪ್ರವಾಸಿ ಸ್ಥಳಗಳಿಂದ ಬೇರೆ ಮಾಡುತ್ತದೆ .
1511,sg,ಜಹಾಂಗೀರನು ಶ್ರೀನಗರ ಪಟ್ಟಣದ ಸೌಂದರ್ಯದಿಂದ ಪ್ರಭಾವಿತ ಆಗಿಯೇ ಇದನ್ನು ಭೂಮಿಯ ಸ್ವರ್ಗದ ಹೆಸರಿನಿಂದ ಕರೆಯಲಾಯಿತು .
1512,pl,"ಹಾಸನವು ಮಲೆನಾಡ ಜಿಲ್ಲೆಗಳಲ್ಲಿ ಒಂದು ಆಗಿದ್ದು ಇದನ್ನು ಹೊಯ್ಸಳ , ಕದಂಬ , ಗಂಗರನ್ನು ಒಳಗೊಂಡಂತೆ ಹಲವು ರಾಜವಂಶಗಳು ಆಳ್ವಿಕೆ ನಡೆಸಿವೆ ."
1513,sg,ಶ್ರವಣಬೆಳಗೊಳವು ವಿಂಧ್ಯಗಿರಿಯ ತುತ್ತತುದಿಯ ಮೇಲೆ ನಿಂತು ಜಗತ್ತಿನ ಆಗು - ಹೋಗುಗಳನ್ನು ಧ್ಯಾನ ಮಗ್ನವಾಗಿ ಅರೆಗಣ್ಣಿನಿಂದ ನೋಡುತ್ತಿರುವಂತೆ ಭಾಸವಾಗುವ ಮೂರ್ತಿಯು ಜಗತ್ತಿನಲ್ಲಿಯೇ ಅತಿಶ್ರೇಷ್ಠ ಕಲಾಕೃತಿ ಎಂದು ಭಾವಿಸಲಾಗಿದೆ .
1514,sg,"ಅಮ್ಮನವರ ಗುಡಿ , ಕಪ್ಪೆ ಚೆನ್ನಿಗರಾಯನ ಗುಡಿ , ವೀರನಾರಾಯಣ ಗುಡಿ ಮೊದಲಾದವುಗಳು ಇದ್ದು ಇವು ಎಲ್ಲವನ್ನೂ ಮೀರಿ ಮಧ್ಯದಲ್ಲಿ ಚೆನ್ನಕೇಶವ ದೇವಾಲಯ ಕಂಗೊಳಿಸುತ್ತದೆ ."
1515,sg,"ಅವನ ಎಡಗೈಯಲ್ಲಿ ಕತ್ತಿ , ಬಲಗೈಯಲ್ಲಿ ಹೂವು , ಎಡಕ್ಕೆ ಮಹಾರಾಣಿ , ಆಕೆಯ ಹಿಂದೆ ಒಬ್ಬ ದಾಸಿ , ರಾಜನ ಬಲಗಡೆ ಸ್ವಲ್ಪ ಮುಂಭಾಗದಲ್ಲಿ ಇಬ್ಬರು ಗುರುಗಳು , ಅವರಲ್ಲಿ ಒಬ್ಬರು ಉಪದೇಶ ಮಾಡುತ್ತಿರುವಂತೆ ಇದೆ ."
1516,sg,"ಈ ದೇವಾಲಯದ ಎಡಭಾಗದಲ್ಲಿ 10 ಜಾಲಂದ್ರಗಳನ್ನು , ಬಲಭಾಗದಲ್ಲಿ 10 ಜಾಲಂದ್ರಗಳನ್ನು ಸುಂದರವಾಗಿ ಅಳವಡಿಸಲಾಗಿದೆ ."
1517,sg,ಈ ದೇವಾಲಯ ಉತ್ತರ ದಕ್ಷಿಣವಾಗಿ 150 ಅಡಿ ಇದ್ದು ಪೂರ್ವ ಪಶ್ಚಿಮವಾಗಿ 100 ಅಡಿಗಳಷ್ಟು ಒಟ್ಟು ಸುಮಾರು 40000 ಚದರ ಅಡಿಗಳಷ್ಟು ವಿಸ್ತಾರವನ್ನು ಹೊಂದಿದೆ .
1518,,ಕುಟುವತ್ತಿ ಬೆಟ್ಟದ ಬುಡದಲ್ಲಿ ಇರುವ ಕುಡುವತ್ತಿ ಈಗ ಜನವಸತಿ ಇಲ್ಲದ ಗ್ರಾಮ .
1519,sg,ಸೀತೆಯನ್ನು ಲಂಕೆಯಿಂದ ಅಯೋಧ್ಯೆಗೆ ಕರೆತರುವಾಗ ಸೀತಾದೇವಿ ಕಾವೇರಿಯಲ್ಲಿ ಸ್ನಾನ ಮಾಡುವಾಗ ಮೂಗುತಿ ನೀರಿಗೆ ಬಿದ್ದಿತು .
1520,sg,ಸ್ವಲ್ಪ ಓಮ ಕಾಳನ್ನು ಒಂದು ಊಟದ ಚಮಚ ಕೊಬ್ಬರಿ ಎಣ್ಣೆಯಲ್ಲಿ ಹಾಕಿ ಕುದಿಸಿ ಬಿಸಿ ಆರಿದ ನಂತರ ಎಣ್ಣೆ ಬಸಿಯಿರಿ .
1521,sg,ಅಡುಗೆ ಉಪ್ಪನ್ನು ಸ್ವಲ್ಪ ನೀರಿನಲ್ಲಿ ಕರಗಿಸಿ ಉಗುರು ಬೆಚ್ಚಗೆ ಮಾಡಿ ಈ ದ್ರಾವಣವನ್ನು ಹನಿಹನಿಯಾಗಿ ಕಿವಿಗೆ ಬಿಟ್ಟರೆ ಯಾವುದೇ ಕೀಟ ಕಿವಿಗೆ ಹೋಗಿದ್ದರೆ ಅದು ಸಾಯುತ್ತದೆ .
1522,sg,ಕೆಲವು ತೊಟ್ಟು ನಿಂಬೆ ರಸವನ್ನು ಮೂಗಿನ ಹೊಳ್ಳೆಗೆ ಬಿಟ್ಟರೆ ರಕ್ತಸ್ರಾವ ನಿಲ್ಲುತ್ತದೆ .
1523,sg,"ಅಜೀರ್ಣದ ದೆಸೆಯಿಂದ ತೊಂದರೆಗೆ ಒಳಗಾದವರು ದ್ರಾಕ್ಷಿ , ಕಿತ್ತಳೆ , ಹುಳಿ ಸೇಬು ಮತ್ತು ಪಕ್ವವಾಗಿ ಮಾಗಿದ ಬಾಳೆಹಣ್ಣು ಸೇವಿಸುವುದರ ಮೂಲಕ ಜೀರ್ಣಶಕ್ತಿಯನ್ನು ಹೆಚ್ಚಿಸಿಕೊಂಡು ಆರೋಗ್ಯವಂತರು ಆಗಬಹುದು ."
1524,,ಸಬ್ಬಸಿಗೆ ಸೊಪ್ಪು : .
1525,pl,ಇದರಲ್ಲಿ ಕಬ್ಬಿಣ ಹಾಗೂ ಕ್ಯಾಲ್ಸಿಯಂ ಸುಣ್ಣದ ಅಂಶಗಳು ತುಂಬಾ ಹೆಚ್ಚಾಗಿ ಇರುತ್ತವೆ .
1526,sg,"ಅಜೀರ್ಣದಲ್ಲಿ ನರಳುವವರು ಕರಿಬೇವಿನ ಸೊಪ್ಪನ್ನು ತುಪ್ಪದಲ್ಲಿ ಚೆನ್ನಾಗಿ ಹುರಿದು ಒಣ ಕೊಬ್ಬರಿ , ಒಣ ಶುಂಠಿ , ಕರಿಮೆಣಸಿನ ಪುಡಿ , ಪುದೀನಾ , ಜೀರಿಗೆ , ಹುಣಸೇ ಹಣ್ಣನ್ನು ಸಾಕಷ್ಟು ಪ್ರಮಾಣದಲ್ಲಿ ಸೇರಿಸಿ , ಕುಟ್ಟಿಯೋ , ರುಬ್ಬಿಯೋ ಚಟ್ನಿ ಮಾಡಿ ಬಿಸಿಯನ್ನ ಹಾಗೂ ಸ್ವಲ್ಪ ಮಾತ್ರ ಬಿಸಿ ತುಪ್ಪದೊಂದಿಗೆ ಕಲಸಿಕೊಂಡು ತಿಂದರೆ , ಅಜೀರ್ಣ ರೋಗ ತಾನೇ ತಾನಾಗಿ ದೂರ ಆಗುತ್ತದೆ ."
1527,,ವಿಳ್ಯದೆಲೆ : .
1528,,ಅಗಸೆ ಸೊಪ್ಪು : .
1529,,ವಿರ್ಯೋಷ್ಣ ಎನಿಸಿರುವ ಇದು ರುಚಿಯಲ್ಲಿ ಕಡು ಕಹಿ .
1530,sg,ಮೂತ್ರದ ಉರಿ ಇದ್ದರೆ ಒಂದು ಟೀ ಚಮಚ ಕಿರುತಸಾಲೆ ಸೊಪ್ಪಿನ ರಸಕ್ಕೆ ಆರು ತೊಟ್ಟು ನಿಂಬೆ ರಸ ಬೆರೆಸಿ ದಿನಕ್ಕೆ ಮೂರು ಅಥವಾ ನಾಲ್ಕು ಬಾರಿ ಸೇವಿಸುವುದರಿಂದ ಉಪಶಮನ ಆಗುವುದು .
1531,,ಸೈನಸೈಟಿಸಿಗೆ ಕಾರಣಗಳು : .
1532,pl,' ಪರವಾಗಿಲ್ಲ ' ' ನಾವು ಇದ್ದೇವೆ ' ಎಂದು ಇತರೇ ವಿದ್ಯಾವಂತರು ಮುಂದಾದರು .
1533,sg,ಅಂಚೆ ಬಟವಾಡೆಯವನು ರಾತ್ರಿ ಶಾಲೆಯನ್ನು ನಡೆಸಲು ಮುಂದಾದನು .
1534,,' ಇನ್ನು ಮುಂದೆ ಮನಿಯಾರ್ಡರಿಗೆ ಹೆಬ್ಬೆಟ್ಟು ಒತ್ತುವುದನ್ನು ಸಹಿಸಲಾರೆ .
1535,sg,ಅಂತಹವರಿಗೆ ಮನಿಯಾರ್ಡರನ್ನು ಕೊಡಲಾರೆ ' ಎಂದು ಉದ್ಗಾರ ಎಳೆದನು .
1536,sg,ಪೊಲೀಸ್ ಪೇದೆಯೂ ಸಹ ಅಕ್ಷರ ಪ್ರಚಾರಕ್ಕೆ ಇಳಿದನು .
1537,,ಪ್ರೌಢಶಾಲೆಯ ಮುಖ್ಯೋಪಾಧ್ಯಾಯರು ಸಹ ಹಿಂದೆ ಉಳಿಯಲಿಲ್ಲ .
1538,pl,' ಅಳಿಲು ಭಕ್ತಿ ಮಳಲು ಸೇವೆ ' ಎಂಬಂತೆ ಶಾಲಾ ಬಾಲಕರು ಸಹ ಯಥಾಶಕ್ತಿ ಓದುಬರೆಹ ಕಲಿಸಿದರು .
1539,,ಗ್ರಾಮಗಳಲ್ಲಿ ಉತ್ಸಾಹ ಹೆಚ್ಚಿತು .
1540,sg,ಕೆಲವು ಹಳ್ಳಿಗಳಲ್ಲಿ ಮಧ್ಯರಾತ್ರಿ ಒಂದು ಘಂಟೆಯವರೆಗೂ ವಯಸ್ಕರ ಶಿಕ್ಷಣ ಕೇಂದ್ರ ನಡೆಯುತ್ತಿತ್ತು .
1541,sg,ಎಲ್ಲವೂ ಮನಸ್ಸು ಇದ್ದೆಡೆ ಮಾರ್ಗ ಇದೆ ಎಂಬುದನ್ನು ಸೂಚಿಸುತ್ತಿತ್ತು .
1542,pl,ಹಿಂದಿನ ವರ್ಷಗಳಲ್ಲಿ ಕೇವಲ 3000 ಮಂದಿ ಅಕ್ಷರಸ್ಥ್ದರು ಆಗಿದ್ದರು .
1543,sg,"1958-59ನೆಯ ಸಾಲಿಗೆ 10,000ಕ್ಕೆ ಏರಿತು ."
1544,pl,"59-60ನೆಯ ಸಾಲಿನಲ್ಲಿ ಅಕ್ಷರಸ್ಥರ ಸಂಖ್ಯೆ ದ್ವಿಗುಣ ಆಯಿತು ; ಅಂದರೆ 21,000 ಮಂದಿ ಅಕ್ಷರಸ್ಥರು ಆದರು ."
1545,,"ಅವರ ಪೈಕಿ 11,000 ಮಂದಿ ಹೆಂಗಸರು ."
1546,,ಎರಡು ಹಳ್ಳಿಗಳು ಪೂರ್ಣ ಸಾಕ್ಷರತೆ ಸಾಧಿಸಿದವು .
1547,sg,ಅತ್ಯಾಶ್ಚರ್ಯಕರವಾದ ಯಶಸ್ಸು ದೊರಕಿತು .
1548,,"' ಚಳವಳಿ ನಮಗಾಗಿ ನಮ್ಮ ಅಭ್ಯುದಯಕ್ಕಾಗಿ , ನಾವೇ ನಮ್ಮ ಯಶಸ್ಸಿಗೆ ಶ್ರಮಿಸಬೇಕು ' ಎಂಬ ಭಾವನೆಯಿಂದ ಹಳ್ಳಿಗರು ಮುಂದೆ ಬಂದು ಸೇವೆ ಸಲ್ಲಿಸಿದುದೇ ಯಶಸ್ಸಿಗೆ ಕಾರಣ ."
1549,sg,ಈ ತೆರನಾದ ಕಲ್ಪನೆಯು ಒಳ್ಳೆಯ ಕಾರ್ಯಕ್ಕೆ ನಾಂದಿ ಆಯಿತು .
1550,sg,ಹಳ್ಳಿಗರಲ್ಲಿ ನವಚೈತನ್ಯ ಮೂಡಿತು .
1551,,ಹಳ್ಳಿಗಳ ಸ್ವರೂಪವೇ ಬದಲಾಯಿತು .
1552,sg,ಈ ಉತ್ಸಾಹವನ್ನು ಸರಿಯಾದ ದಾರಿಯಲ್ಲಿ ಕ್ರೋಢೀಕರಿಸಲು ಯೋಚಿಸಲಾಯಿತು .
1553,sg,ಹಳ್ಳಿಗಳಲ್ಲಿ ಕೆಳಕಂಡ ಕಾರ್ಯಕ್ರಮಗಳನ್ನು ಕೈಗೊಳ್ಳುವಂತೆ 1960ರ ಏಪ್ರಿಲ್ ತಿಂಗಳಿನಲ್ಲಿ ಒಂದು ಮನವಿಯನ್ನು ಹೊರಡಿಸಲಾಯಿತು .
1554,pl,ಅದರಂತೆ ಗ್ರಾಮಸ್ಥರು ಕೆಳಕಂಡಂತೆ ಹೊಣೆಯನ್ನು ಹೊತ್ತರು .
1555,,ಪ್ರತೀ ಮನೆಗೆ ಭೇಟಿ ನೀಡಿ 14-50 ವಯೋಮಿತಿಯ ಅನಕ್ಷರಸ್ಥರ ಪಟ್ಟಿ ಮಾಡುವುದು .
1556,,ವಯಸ್ಕರ ಶಿಕ್ಷಣ ಕೇಂದ್ರಗಳನ್ನು ನಡೆಸಲು ಉಪಾಧ್ಯಾಯರನ್ನು ಹಂಚುವುದು .
1557,,ವಿದ್ಯಾರ್ಥಿಗಳನ್ನು ಸಾಕಷ್ಟು ಸಂಖ್ಯೆಯಲ್ಲಿ ಕೇಂದ್ರಗಳಿಗೆ ಕೂಡಿಸುವುದು .
1558,,"ಕೇಂದ್ರಗಳ ವ್ಯವಸ್ಥೆ , ವಿದ್ಯಾರ್ಥಿಗಳ ಹಾಜರಾತಿ ಮತ್ತು ಶಾಲೆಯ ಉಸ್ತುವಾರಿ ."
1559,,"ಕೇಂದ್ರಕ್ಕೆ ಬೇಕಾದ ಪಾಠೋಪಕರಣಗಳು , ಬೆಳಕು ಮತ್ತು ಸೀಮೆಎಣ್ಣೆ ಒದಗಿಸುವುದು ."
1560,,ಮಹಿಳೆಯರಿಗೆ ಮನೆಯಲ್ಲೇ ಶಾಲಾಬಾಲಕರಿಗೆ ಓದುಬರೆಹ ಕಲಿಸಲು ಏರ್ಪಾಡು .
1561,,ವಯಸ್ಕರಿಗೆ ಓದುಬರೆಹ ಕಲಿಸುವಂತೆ ಪ್ರೌಢಶಾಲೆಯ ವಿದ್ಯಾರ್ಥಿಗಳನ್ನು ಪ್ರೋತ್ಸಾಹಿಸುವುದು .
1562,,ವಾಚನಾಲಯ ಮತ್ತು ಗ್ರಂಥಾಲಯಗಳ ವ್ಯವಸ್ಥೆ .
1563,,ಗ್ರಾಮಗಳಲ್ಲಿ ಓದುಬರೆಹ ಕಲಿಸಲು ಏರ್ಪಾಡಾದ ಸಾಕ್ಷರತಾ ಪ್ರಚಾರ ಸಮಿತಿಗಳು ತಮಗೆ ಒಪ್ಪಿಸಿದ ಜವಾಬ್ದಾರಿಯನ್ನು ಸಂತೋಷದಿಂದ ನಿರ್ವಹಿಸಿದವು .
1564,sg,ಈ ಕಾರ್ಯ ನಿರ್ವಹಿಸುವಲ್ಲಿ ಹಳ್ಳಿಗಳ ಮಧ್ಯೆ ಸ್ಪರ್ಧಾ ಮನೋಭಾವ ಕಂಡುಬಂದಿತು .
1565,sg,ತತ್ಪರಿಣಾಮವಾಗಿ 1960-61ನೆಯ ಸಾಲಿನಲ್ಲಿ ಓದುಬರೆಹ ಕಲಿತವರ ಸಂಖ್ಯೆ ಏರಿತು .
1566,pl,109000 ಮಂದಿ ಅಕ್ಷರಸ್ಥರು ಆದರು .
1567,sg,ಸತಾರ ಜಿಲ್ಲೆಯಲ್ಲಿ ನಡೆದ ಅಕ್ಷರ ಪ್ರಚಾರ ಕಾರ್ಯ ಮೆಚ್ಚುವಂತಹದು .
1568,sg,ಲಾಹುಸುರ್ನೆ ಗ್ರಾಮದಲ್ಲಿ ಪ್ರಪ್ರಥಮವಾಗಿ ಗ್ರಾಮಗೌರವ ಸಮಾರಂಭ ನಡೆಯಿತು .
1569,,ರಾಜ್ಯದ ವಿದ್ಯಾಇಲಾಖೆಯ ಮುಖ್ಯಾಧಿಕಾರಿಗಳು ಈ ಸಮಾರಂಭಕ್ಕೆ ಆಗಮಿಸಿದರು .
1570,,ಸಮಾರಂಭ ನಡೆದಿದ್ದು 20-9-60ರಲ್ಲಿ .
1571,sg,ಆ ಹಳ್ಳಿಯಲ್ಲಿ ನಡೆಸಿದ ಕಾರ್ಯ ಮುಂದಿನ ಬೃಹತ್ ಯೋಜನೆಗೆ ಆಧಾರ ಆಯಿತು .
1572,,17-4-1961 ರಂದು ಶಿವಜಯಂತಿ ; ಶುಭದಿನ .
1573,sg,ಆ ದಿನ ಚಳವಳಿಯನ್ನು ಎಲ್ಲ ಕಡೆಗಳಲ್ಲೂ ಪ್ರಾರಂಭಿಸಲು ನಿರ್ಧಾರ ಆಯಿತು .
1574,pl,ಈ ನಿರೂಪಣೆಯನ್ನು ಜಿಲ್ಲಾ ರೆವಿನ್ಯೂ ಅಧಿಕಾರಿಗಳು ಎಲ್ಲ ಹಳ್ಳಿಗಳಿಗೂ ಕಳುಹಿಸಿದರು .
1575,pl,ಪ್ರತೀ ಗ್ರಾಮದಲ್ಲೂ ಅಕ್ಷರ ಪ್ರಚಾರ ಸಲಹಾ ಸಮಿತಿಗಳ ರಚನೆ ಆದವು .
1576,pl,"ಆ ಸಮಿತಿಯಲ್ಲಿ ಶಾಲೆಯ ಮುಖ್ಯ ಉಪಾಧ್ಯಾಯರು , ಒಬ್ಬಳು ಮಹಿಳಾ ಪ್ರತಿನಿಧಿ , ಸರಪಂಚರು , ಪಟೇಲರು ಮತ್ತು ಸಹಕಾರ ಸಂಘದ ಪ್ರತಿನಿಧಿ ಒಬ್ಬರು ಇದ್ದರು ."
1577,sg,17-4-1961 ರಂದು ಇಡೀ ರಾಜ್ಯದ ಅಕ್ಷರ ಪ್ರಚಾರ ಕಾರ್ಯ ಆರಂಭ ಆಯಿತು .
1578,pl,ಮೊದಲ ವರ್ಷ 378 ಹಳ್ಳಿಗಳಲ್ಲಿ 14ರಿಂದ 50 ವಯಸ್ಸಿನವರು ಓದುಬರೆಹ ಕಲಿತರು .
1579,pl,ಇಡೀ ಮಹಾರಾಷ್ಟ್ರದಲ್ಲಿ ಆ ವರ್ಷ 486378 ಮಂದಿ ಅಕ್ಷರಸ್ಥರು ಆದರು .
1580,pl,1962 ರಲ್ಲಿ ಗ್ರಾಮ ಪಂಚಾಯಿತಿಗಳು ಪುನಾರಚಿತ ಆದವು .
1581,pl,ಜಿಲ್ಲಾ ಪರಿಷತ್ತು ಹೊಸದಾಗಿ ಅಸ್ತಿತ್ವಕ್ಕೆ ಬಂದವು .
1582,pl,ಗ್ರಾಮ ಶಿಕ್ಷಣ ಮೊಹೀಂ ಹೊಣೆಯನ್ನು ಜಿಲ್ಲಾ ಪರಿಷತ್ತುಗಳು ಹೊತ್ತವು .
1583,,ಆದರೆ ಆ ಸಾಲಿನಲ್ಲಿ ನಿರೀಕ್ಷಿಸಿದಷ್ಟು ಕಾರ್ಯ ನಡೆಯಲಿಲ್ಲ .
1584,pl,"ಕಾರಣ , ಜಿಲ್ಲಾ ಪರಿಷತ್ತುಗಳು ಹೊಸದಾಗಿ ಆರಂಭ ಆಗಿದ್ದವು ."
1585,sg,ಆದ್ದರಿಂದ ಅವುಗಳನ್ನು ನಿರ್ವಹಿಸುವುದರಲ್ಲಿ ಹೆಚ್ಚಿನ ಕಾಲ ವಿನಿಯೋಗ ಆಯಿತು .
1586,sg,1963ರ ಏಪ್ರಿಲ್ ತಿಂಗಳಲ್ಲಿ ಜಿಲ್ಲಾ ಪರಿಷತ್ತುಗಳ ಸಭೆ ನಡೆಯಿತು .
1587,,ನಿರಕ್ಷರತಾ ನಿರ್ಮೂಲನದ ಹೊಣೆಯನ್ನು ಜಿಲ್ಲಾ ಪರಿಷತ್ತುಗಳು ನಿರ್ವಹಿಸತಕ್ಕದ್ದು .
1588,,ಇದು ಜನತಾ ಚಳವಳಿ ಆಗಬೇಕು ಆದರೆ ಜನತಾ ಮುಖಂಡರು ಸಕ್ರಿಯ ಪಾತ್ರ ವಹಿಸುವುದು ಅನಿವಾರ್ಯ .
1589,sg,"ಜಿಲ್ಲಾಪರಿಷತ್ತಿನ ಅಧ್ಯಕ್ಷರು , ಪಂಚಾಯಿತಿ ಅಧ್ಯಕ್ಷರು ಮತ್ತು ಅಕ್ಷರ ಪ್ರಚಾರ ಸಲಹಾ ಸಮಿತಿಯ ಸದಸ್ಯರು ಮತ್ತು ಅಧ್ಯಕ್ಷರು ಸಹಕರಿಸದಿದ್ದರೆ ಈ ಕಾರ್ಯವು ಯಶಸ್ವಿ ಆಗಲಾರದು ."
1590,,"ಆದಕಾರಣ , ಅವರು ಒಂದೆರಡು ಹಳ್ಳಿಗಳಲ್ಲಿ ಆದರೂ ನಡೆಯುವ ಅಕ್ಷರ ಪ್ರಚಾರ ಕಾರ್ಯ ಕ್ರಮದಲ್ಲಿ ನೇರವಾಗಿ ಆಸಕ್ತಿ ವಹಿಸಬೇಕು ."
1591,,ಕಾರ್ಯಕರ್ತರ ಸಭೆಯಲ್ಲಿ ಭಾಗವಹಿಸಿ ವಿಚಾರ ವಿನಿಮಯ ಮಾಡತಕ್ಕದ್ದು .
1592,,ಪ್ರತೀ ಸಾಲಿನಲ್ಲೂ ಹೊಸದಾಗಿ ಶೇಕಡ 20 ಹಳ್ಳಿಗಳನ್ನು ಆಯ್ಕೆ ಮಾಡಿ ಅಲ್ಲಿ ನಿರಕ್ಷರತಾ ನಿರ್ಮೂಲನ ಚಳವಳಿಯನ್ನು ಕೈಗೊಳ್ಳಬೇಕು .
