objnum,sentences
,غور طلب ہے کہ امتیابھ_بچّن کے ۶۰ ویں سالگرہ کے موقع پر رمونا نے بھی ایک ایسی ہی سیل لگائی تھی ۔
,حالانکہ وہ بھی اس بات سے متفق ہیں کہ ایسی اشیاء کو یکجا کرنا اب اتنا آسان نہیں رہا ۔
,انھوں نے بتایا کہ پہلے پرانی دہلی اور ممبئی میں ایسے پوسٹر آسانی سے مل جاتے تھے اب ماحول ویسا نہیں ہے ۔
,خصوصاً شعلے ، دیوار وغیرہ فلموں کے پوسٹر مشکل سے ہی ملتے ہیں ۔
,اس کے متعلق یامنی نے بتایا کہ ایسی آن_لائن فلم سیل کے لئے امتیابھ بچّن سے بہتر فی_الحال اور کچھ نظر نہیں آتا ۔
sg,ملک کے علاوہ غیرممالک میں بھی ان کی مقبولیت بےمثال ہے ۔
,یہی وجہ ہے کہ این_آر_آئی ایسی اشیاء کے سب سے بڑے خریدار ہیں ۔
,اس کلیکشن کی قیمت کچھ ہزار سے شروع ہوتی ہے ۔
,سب سے مہنگا آئٹم ` شعلے ` کا یاک پوسٹر ہے جس کے لئے قیمت ۹۸۰۰ روپئے رکھی گئی ہے ۔
,ایک اور دمدار آئٹم ہے فلم ` کالیا ` کا ایل_پی جس میں گانوں کے ساتھ ساتھ فلم کے دمدار مکالمے بھی ہیں ۔
,ایسے تمام آئٹمس اس سیل میں رکھے گئے ہیں جن پر ویب_سائٹ کے ` دی_اسٹوری ` حصّے کے ` بالی_ووڈ بگ_بی ` کے تحت نظر ڈالی جا سکتی ہے ۔
sg,یہ آن_لائن سیل سائٹ پر ۱۱ مارچ کو ختم ہو رہی ہے ۔
,جیکی بھگنانی کی لانچنگ تو بہت بڑھیا طریقے سے ہوئی تھی لیکن اتنی ہی تیزی سے وہ گمنامی میں بھی کھوتے چلے گئے ۔
,مشہور پروڈیوسر واشو بھگنانی کے بیٹے جلد ہی فلم ` رنگریز ` میں دکھیں گے ۔
,اور اس فلم کے لئے انھوں نے چرچا میں آنے کا بہت بہتر طریقہ کھوجا ہے ۔
,جیکی نے یوٹیوب پر مشہور ہوئے پاپ سانگ گنگنم اسٹائل کے رائٹس خرید لئے ہیں اور اسے اپنی آنے والی فلم کے لئے شوٹ بھی کر ڈالا ہے ۔
,جیکی کا کہنا ہے کہ یہ ان کے والد واشو کو ان کی جانب سے تحفہ ہے ۔
,دیکھنا ہے کہ یہ تحفہ رنگریز کو ہٹ کرانے میں کام آتا ہے یا انھیں اپنے والد کو متاثر کرنے کا کوئی اور طریقہ تلاش کرنا ہوگا ۔
,کچھ اتا پتا معلوم ہے تیرے کو ؟
,کچھ نہیں ، اور اندھیرے میں ان کا تھوبڑا تک نہیں دکھا اور آجکل گلی میں نوراتری کا ڈانڈیا چل رہا ہے ، اسے بھیڑ میں پہچاننا بھی مشکل ہے ۔
,تم میں سے مکٹ بہاری کون ہے ؟
,مکٹ بہاری ! چپ _ چاپ یہاں سے اپنا راشنکارڈ ٹرانسفر کروا لے اور صبح کے بعد یہاں نظر مت آنا ۔
,تار آیا ہے ، منا بھیّا جلدی گھر آ جاؤ ، بہت بڑی مصیبت آ پڑی ہے ۔
,ساری دوکانیں لٹ گئی اور آج تک ہماری پولس فورس کو یہ پتہ نہیں چلا کہ وہ لوگ کون تھے ؟
,صرف اتنا پتہ ہے کہ لوٹیا نام کے خطرناک مجرم کی گینگ تھی ، جس کی تلاش پولس کو پہلے سے ہے ، مگر وہ موہنی کو کہاں لے کر گیا ہے اس کا پتہ تک نہیں چل سکا ۔
,وہاں سے جو موٹرسائکلیں برآمد ہوئی تھیں ان کے مالکوں کا کچھ پتہ چلا ؟
,سر ! وہ سب چوری کی ہوئی موٹر سائکلیں تھیں ۔
,سر وائرلس پر ایک پیغام ملا ہے کہ ایک شہربدر اپنے علاقے میں داخل ہوا ہے ۔
,کون ہے وہ ؟
,منا نام ہے اس کا ۔
,آج سے سال پہلے اس علاقے سے اسے شہربدر کا حکم ہوا تھا ۔
,یہ رہی اس کی فائل ۔
,یہ تو مہیش دیشمکھ ہے ، منا کیسے ہو گیا ؟
,سر ! وہ اس علاقے میں منا کے نام سے جانا جاتا ہے ، اس سے پہلے خون کے جرم میں ایک سال کی سزا کاٹ چکا ہے ۔
,فائل کہتی ہے کہ یہ خطرناک مجرم ہے ، مگر میری یادداشت کہتی ہے کہ یہ معصوم ، جذباتی مگر جوشیلا نوجوان تھا جو اپنے ملک کے لئے مر مٹنے کو تیار تھا ۔
,آپ اسے جانتے ہیں سر ؟
,جانتا تھا دو سال پہلے میری پوسٹنگ ناسک میں تھی ۔
,میرے تھانے کے سامنے سنسان گلی میں ایک بینک تھا ، جس میں اس کے ماں _ باپ دونوں نوکری کرتے تھے ۔
,مجھے وہ دن ابھی تک یاد ہے جس دن میں مہیش سے پہلی بار ملا تھا ۔
,بابو جی ! بابو جی ! میں نے آپ سے کہا تھا نہ کہ میں بیسٹ نیوی کیڈٹ کا کپ جیت کر دکھاؤں گا ، دیکھئے ۔
,بیسٹ نیوی کیڈٹ کا کپ ؟
,ہاں ماں ! بیسٹ نیوی کیڈٹ کپ ، آئی ہیو ڈن اٹ ڈیڈ ، آئی ہیو ڈن اٹ ۔
sg,دیشمکھ صاحب ! اب تو مٹھائی کھلانی پڑے گی ، آپ کی تمنا آپ کے بیٹے نے پوری کر دی ہے ۔
,ہاں ، میری تمنا تو پوری ہوئی ، اب مہیش کا خواب بھی تو پورا ہونے دیجئے ۔
,کیا بننا چاہتے ہو مہیش ؟
,میں نودل میں شامل ہونا چاہتا ہوں سر ، ایڈمرل بننا چاہتا ہوں ۔
,اچھا ، دیٹس ویری گڈ ۔
,بچپن سے ہی نہ جانے اس کے دماغ میں کیا گھس گیا ہے ، دیش کے لئے مر مٹنے کی باتیں کرتا رہتا ہے ۔
,ضرور پچھلے جنم میں حب_الوطن رہا ہوگا ، جو ملک کی آزادی کے لئے شہید ہو گیا ۔
,اچھا ماں میں چلتا ہوں ، شام کو گھر پر ملینگے ، اچھا ۔
,دیکھو ، میں بیس سال سے اس بینک کا نمک کھا رہا ہوں اور ان کے پیسوں کی حفاظت کرنا میرا فرض ہے ۔
,فرض کے ليے مجھے اگر جان بھی دینی پڑی تو مجھے اس کی فکر نہیں ۔
,وہ عورت بینک کے اندر جا رہی ہے سر ! ان کی جان کو خطرہ ہو سکتا ہے سر ۔
,تم ایسا کرو یہاں سے چلے جاوء ، راستے میں اگر پولس ملے تو میرے پاس بھیج دینا ۔
,سر ! میری ماں اور بابو جی اندر پھنسے ہوئے ہیں اور میں یہاں سے چلا جاؤں ۔
,دیکھو ان لوگوں کے پاس بندوقیں ہیں ، کبھی بھی گولی چل سکتی ہے اور تمھاری جان کو خطرہ ہو سکتا ہے ، سمجھے ۔
,کیا برائیوں اور گناہوں کے خلاف لڑنے اور جان دینے کا حق صرف آپ وردی والوں کو ہے ، ہم لوگوں کو نہیں ؟
,کیوں سر ؟
sg,ویسے میں نے اپنی جان ملک کے نام اسی دن لکھ دی تھی سر جس دن میں نے یہ وردی پہنی تھی ۔
,سر ! اس عورت اور بچی کو بینک کے اندر جانے سے روکنا بہت ضروری ہے سر ۔
,آپ کی وردی دیکھ کر ڈاکو گولی چلا سکتے ہیں ، میں جا کر عورت کو واپس لے آتا ہوں سر ۔
,پلیز گو می آرڈر سر ! آپ مجھے حکم دیجئے ، پلیز سر ۔
,مہیش کی سب سے خوشی کا دن منٹوں میں سب سے دکھی دنوں میں بدل گیا تھا ، زندگی کو اس سے بڑا مذاق کرتے میں نے نہیں دیکھا تھا ۔
,کچھ دنوں میں مہیش اپنی بہن کو لے کر ممبئ چلا گیا تھا ، مگر اس دن کے بعد محسوس ہونے لگا کہ میرے درد کو سہنے کی طاقت بڑھ گئ ہے ۔
,خیر ، شہر کا کونا کونا چھان مارو اور باہر جانے والے راستے بند کر دو ، اس آدمی کا پکڑا جانا میرے لیے بہت ضروری ہے ۔
,کیونکہ میں یہ جاننا چاہتا ہوں کہ یہ مہیش سے منا کیسے بن گیا ؟
,جیوتی ! ابھی ایک سال پورے ہونے میں چار دن باقی ہیں ، ابھی تک شہربدر کا سکہ میرے ماتھے پر لگا ہوا ہے ۔
,پولس میرے پیچھے کتے کے موافق پڑی ہوئی ہے اور تم جانتی ہو جب تک میں سزا کاٹ نہیں لیتا ، میں بمبئ واپس نہیں آ سکتا ۔
,بتاؤ کس کے لئے بلایا مجھے ؟
,کسی بھی انتخابی علاقہ کی صحیح تصویر جاننے کے لئے سب سے پہلے تو ذات ، مذہب ، پارٹی کے تعصبات سے دور رہنا ضروری ہے ۔
,نامہ_نگار کا کام کسی ذات ، مذہب یا پارٹی کے امیدوار کو نہ کامیاب کرنا ہے ، نہ ناکام کرنا ہے ۔
,کوئی امیدوار کسی اخبار کے جتانے سے نہ جیتتا ہے ، نہ ہارتا ہے ۔
sg,وہ اخبار کے رول کو اس معاملے میں بہت پیچیدہ وجوہات سے لیتا ہے ۔
,اسلئے ایک نامہ_نگار کو یہ بھرم نہیں ہونا چاہیئے کہ اس کی ایک یا دو رپورٹ کسی پارٹی کے امیدوار کی قسمت کا فیصلہ کر سکتی ہے ۔
,اسلئے جب نامہ_نگار کسی انتخابی حلقہ میں جائیں تو اپنے سارے تعصبات یا بدگمانی ایک طرف رکھ کر جائیں ۔
,دوسرا بھرم ذاتی مساوات کی بنیاد پر کھڑا ہوتا ہے ۔
,مان لیجئے ایک انتخابی حلقہ میں کئی سیاسی پارٹیوں کے امیدوار اہم طور سے میدان میں ہیں ۔
,اب آپ جس امیدوار یا اس کے حامی کے پاس جائینگے تو وہ ذاتی جوڑ - توڑ ، جوڑ - بقایا لگا کر بتائےگا کہ ماحول اس کی حمایت میں ہے ۔
,لیکن سب سے زیادہ ذات - پات بہار میں ہے اور یہ لازمی نہیں ہے کہ کوئی امیدوار ذات کی بنیاد پر جیتے ۔
,کچھ رائےدہندگان کسی خاص پارٹی کے تئیں ایماندار ہوتے ہیں ، کچھ رائےدہندگان اپنی ذات کے امیداوار سے ناراض ہوتے ہیں ، کچھ علاقہ کی اندیکھی کے سبب کسی خاص امیدوار کو حمایت دینا یا نہیں دینا چاہتے ہیں ۔
,کئی مرتبہ کسی امیدوار کا کوئی تبصرہ یا اس کا عوامی سلوک رکاوٹ یا وسیلہ بن جاتا ہے ۔
,اسلئے نسلی مساوات کی بنیاد پر کسی بھی امیدوار کی جیت یا ہار طے نہیں ہوتی ۔
,عموماً نسل تمام عادلانہ عناصر میں سے ایک ہوتی ہے ۔
sg,اسلئے انتخابات کو اپنے عینک سے نہ دیکھیں ۔
,اہم یہ ہے کہ اسے دوسرے کے عینک سے دیکھیں ۔
sg,آپ اس سچائی کو بدل نہیں سکتے ۔
sg,اسلئے اپنی رپورٹ میں اس سچائی کو ظاہر کریں ۔
,یہ سچائی آپ تبھی ظاہر کر پائینگے جب آپ اسے دیکھ سکینگے ۔
,اسے دیکھ سکینگے ، جب آپ پارٹی بندی ، ذات _ بندی ، انفرادی ، فرقہ _ وارانہ تعصبات سے دور ہونگے ۔
,جب آپ لالچ یا دھمکی یا بہکاوے سے دور ہونگے ۔
,آپ انتخابی میدان میں استعمال ہونے نہیں ، حقائق کا مدلل ڈھنگ سے استعمال کرنے کے لئے جاتے ہیں ۔
,اپنی آنکھیں اور دماغ بند کرنے نہیں ، کھولنے جاتے ہیں ۔
,اپنے تخیلات اور خوابوں کی تعبیر کرنے نہیں ، حقائق اور سچائیوں کا سامنا کرنے جاتے ہیں ۔
,اسلئے رائےدہندہ کے روپ میں آپ اپنے فیصلے کو انتخابی رپورٹ لکھنے پر حاوی نہ ہونے دیں ۔
,اپنے دونوں رول کو الگ - الگ دیکھیں ۔
,ایک کا رول دوسرے پر دوسرے کا رول پہلے پر نہ لادیں ۔
,پھر وہ کہنا شاید لازمی ہے کہ رپورٹ میں فیصلے نہ دیں ۔
,رپورٹ ، رپورٹ ہوتی ہے فیصلہ نہیں ۔
,لیکن اس کا یہ مطلب نہیں کہ آپ حقائق کو مدلل و پراعتماد طور سے نہ رکھیں اور انتخابات کی ایک مکمل تصویر نہ دیں ۔
,ہر اہم امیدوار کے انتخابی دفتر میں جائیں ۔
,وہاں اہم انتخابی منتظم سے بات کریں ۔
,ہر پارٹی کا انتخابی منتظم بڑھ چڑھ کر ، غیرمعروف اور بےبنیاد باتیں کرےگا ۔
,لیکن تین چار امیدواروں یا ان کے انتخابی منتظمین سے باتیں کرنے پر تصویر کچھ صاف ہوگی ۔
,ان سے حاصل یکسر مخالف حقائق کے درمیان بھی ایک تصویر آپ کو صاف دکھیگی ۔
,کم سے کم دو تین اہم طاقت اور کمزوری کا پتا لگیگا ۔
,ان کے دعووں و دلیلوں کی حقیقت کا پتا چلیگا ۔
,ان کے انتخابی مہم کے نظام کا پتا چلیگا ۔
,موقع ملے تو امیدوار کے ساتھ تھوڑا گھومیں ۔
,انتخابی جلسہ ہو رہا ہے تو وہ دیکھیں ۔
,کسی پارٹی کا جلوس نکل رہا ہے تو اس کے تئیں لوگوں کا کیا رخ ہے ، اس پر نظر رکھیں ۔
,لیکن کبھی اس رعب میں نہ آئیں کہ فلاں امیدوار تو ہار ہی نہیں سکتا ۔
,یا فلاں پارٹی کی حمایت میں مبینہ طور سے پورے ملک یا ریاست میں ہوا بہہ رہی ہے تو اس کا امیدوار یہاں سے جیتیگا ۔
,مدافعت کے متعلق اپنے ملک کی حفاظت سے لےکر دنیا کے تحفظاتی ماحول کے بارے میں علم ہونا ضروری ہے ۔
,یہ موضوع اسلئے حساس ہیں کیونکہ ذرا سی غلطی آپ کی اپنی قومی سلامتی کے لئے خطرہ ہو سکتی ہے ۔
,دو ممالک کے درمیان تناو پیدا کر سکتی ہے اور آپ کی فوج کا حوصلہ ناحق ٹوٹ سکتا ہے ۔
,یہ بھی عجیب بات ہے کہ کویت و عراق جنگ کے دوران دنیا بھر میں دفاعی مضمون_نگاروں کی فوج ایسے کھڑی ہو گئی جیسے ` مشروم ` کی پیداوار ہوتی ہے ۔
,یہی سبب ہے کہ اس وقت دفاعی مضمون_نگاروں کی بیشتر پیشنگوئیاں غلط ثابت ہوئیں ۔
,دفاع کی صحیح اور مناسب رپورٹنگ کے لئے لازمی ہے کہ نامہ_نگار میدان میں جائیں اور خود وہاں کے حالات کا مطالعہ کریں ۔
,اس زمرے میں دنیا کے سب سے اونچے جنگی مقام سیاچن کا سوال آتا ہے ۔
,عمدہ_ترین غیرفیچر فلم کا انعام راجاشبیرخان کی فلم ` شیفرڈ آف پیراڈائز ` کو دیا گیا ہے جبکہ سنیما پر عمدہ_ترین کتاب کا انعام بی ڈی گرگ کی ` سائلنٹ سنیما آف انڈیا اے پکٹوریل جرنی ` کو دیا گیا ہے ۔
,ممبئی دہشت_گردانہ حملے پر بنی ، مشہور فلمکار رام گوپال ورما کی فلم ` دی اٹیکس آف 26 / 11 ` پر کچھ حساس مناظر کی وجہ سے خطرے کے بادل چھا گئے ہیں ۔
,ہندستان پر ہوئے بڑے دہشت_گردانہ حملے کی حقیقی کہانی پر مبنی اس فلم کے کچھ مناظر پر حکومت سمیت حفاظتی اور خفیہ ایجنسیوں کو اعتراض ہے ۔
,وزارتِ_داخلہ نے مرکزی سنسربورڈ سے فلم کو دوبارہ دیکھ کر کچھ مناظر کا تبصرہ کرنے کو کہا ہے ۔
,26 / 11 حملے کے بعد تنازعات سے جڑے رہے ورما کی فلم پر سرکاری مصیبتوں کو دیکھ کر مانا جا رہا ہے کہ انھیں کچھ مناظر سے کانٹ چھانٹ کرنی پڑ سکتی ہے ۔
sg,اعلیٰ_منصبی ذرائع کے مطابق وزارت داخلہ نے سنسربورڈ کو خط لکھا ہے ۔
,اس میں کہا گیا ہے کہ ملک کی اندرونی حفاظت کی ذمہ_داری وزارت_داخلہ کی ہے ۔
,لہٰذا اسے ` دی اٹیکس آف 26 / 11 ` کے بارے میں یقین میں رکھا جائے ۔
,اعتراضات کی فہرست کے ساتھ وزارت نے سنسربورڈ سے کچھ مکالمات اور مناظر میں ترمیم کرانے کو بھی کہا ہے ۔
sg,ذرائع کے مطابق خفیہ محکمے نے سرکار کو آگاہ کیا کہ فلم میں حملے کے دوران ریاستی اور مرکزی سرکاروں کو مایوس اور تذبذب میں دکھایا گیا ہے ۔
,فلم میں تین دن تک تاج_ہوٹل میں پاکستانی دہشتگردوں کے ساتھ ہوئی خونی جنگ کے دوران سرکار اور حفاظتی ایجنسیوں کو فیصلے لینے میں دیر کرتے اور ڈُہل_مل رویہ اپناتے بھی دکھایا گیا ہے ۔
,ناناپاٹیکر فلم میں اہم پولس افسر کے رول میں رہے ہیں ۔
,فائدوں کے کھیل میں لوگوں کو عام آدمی کی سچی آواز سے واقف کرانے والے بےحد کم ہی لوگ ہیں ۔
sg,مشہور طنزنگار اور جانے مانے صحافی انوج کھرے کا نام ایسے ہی کچھ ایک منتخب لوگوں میں گنایا جا سکتا ہے ۔
,` چلّرچنتن ` کے بعد کھرے کا یہ دوسرا طنزیہ مجموعہ ہے ۔
,کھرے خود مانتے ہیں کہ کوئی پتہ نہ کھڑکے ، کسی کے اندر ہلچل نہ ہو ، کوئی گل نہ کھلے ، کوئی نظام نہ بدلے کوئی کھیل نہ ہو تو لکھنے سے بھلا کیا فائدہ ؟
,فائدے کا یہی راز ان کے طنز کی دھار میں نظر آتا ہے ۔
,قلمکار کا ماننا ہے کہ خطرے نہ ہوں تو زندگی بدرنگ ہو جاتی ہے ۔
,لہٰذا داد یا حقارت کی پرواہ کئے بغیر اس نے قلم چلائی ہے ۔
,روٹین کے انقلابیوں کی خبر لینی ہو یا انقلاب کے امکانات کو پگھلنے کے کگار پر دیکھنا ، تند خیالات کا تابوت اٹھانا ہو یا اپنا قد کتابوں پر کھڑے ہو کر بڑھنے والوں کی تعریف کرنا انوج ایکدم کھرے ثابت ہوئے ہیں ۔
,انھوں نے جذبہءمذمت کا جدیدترین شمارہ بھی تلاش کیا ہے اور سمپیتھی مینجمنٹ کو بھی سادھا ہے وہ لَو کا لوچا پکڑ پانے میں کامیاب رہے ہیں تو مائکے گئی بیوی کو ایک بےرنگ خط بھی لکھ مارے ہیں ۔
,ان کی زبان میں مست مولاپن اور چوکنّی شوخی ہے جو پکڑ لیتی ہے کہ کہے جا رہے لفظ کے مضمرات کیا ہیں ۔
,تقریباً ۲۰ برس کے وقفے کے بعد کسی قلمکار کے نئے تخلیقی عمل کا آنا حیرانی بھرا ہو سکتا ہے ۔
,لیکن اس وجہ سے راجا خُگشال جیسے قلمکار کے نئے شعری مجموعے ` پہاڑ شیرشک ہے پرتھوی کے ` کو نظرانداز قطعی نہیں کیا جا سکتا ۔
,۱۹۸۳ میں مکالمے کے سلسلے اور ۱۹۹۱ میں شائع ` صدی کے شیش ورش ` کے بعد یہ راجاخُشگال کا تیسرا شعری مجموعہ ہے ۔
,ان کی شاعری میں وقت سماج ، تہذیب اور نظام سے لے کر ماحول سے جڑا تفکر نظر آتا ہے ۔
,اسلئے یہ کہنا غلط نہیں ہوگا کہ راجا خُشگال نے شاعری کے تئیں اپنی بےپروائی اور بےاعتنائی کے درمیان اپنے اندر کے شاعر کو زندہ رکھا ہے ۔
,لمبے عرصے کے باوجود ان کے اندر کے شاعر نے اپنے وقت اور سماج کو شاعری سے اوجھل نہیں ہونے دیا۔
,راجا خُشگال کی شاعری کے کئی رنگ ہیں ۔
,کبھی وہ ` دنیا کا چہرا ` شاعری میں بدلتے چہروں کو بیاں کرتے ہیں تو کبھی ` بھوٹئے ` نظموں میں ایک تہذیب کی کہانی کہتے ہیں ۔
,` میل کا پتھر ` چھوٹی سی نظم ہے لیکن ایک مطلب بہت بڑا ہے ۔
pl,میل کے پتھروں کو بھی وہ راہبر اور ہمسفر مانتے ہیں ۔
,اسی طرح ` اننت میں مون ` ( آنجہانی شمشیرجی کے لئے عزت کے ساتھ ) کی شعری زبان سادی اور آسان ہے لیکن شعری پن بالکل خالی نہیں ۔
,انھوں نے جو بھی محسوس کیا اسے عزت اور وقار کے ساتھ آسان زبان میں شاعری کا روپ دے دیا ۔
,لفظ اگر اظہار کا ذریعہ ہے تو رقص اظہار کا ایک طرز ہے ۔
pl,سُر ، تال اور لے سے جڑ کر رقص صدیوں سے ہمارے جذبات کو زباں بناتا آیا ہے ۔
,موسم بدلے یا ماحول
pl,ہر موقعے کے مطابق ایک علاحدہ رقص نے ہمارے ملک کی روایات کو متمول کیا ہے ۔
,ان روایات کا تعاون تب اور بھی صاف نظر آتا ہے جب رقص کے نام سے ہی ایک ریاست کو پہچانا جانے لگتا ہے ۔
,حالانکہ ہر علم کے ساتھ فنکار کی اپنی علمیت کی بھی بہت اہمیت ہے ۔
,جب کوئی بھی اچھا فنکار پیشکش دیتا ہے تو اس سے روایت مضبوط ہوتی ہے ۔
,اس میں تلاش کی بھی اپنی اہمیت ہے کیونکہ فنکار کا تخیل جتنا اونچا ہوگا پیشکش اتنی ہی عمدہ ہوگی ۔
,پھر چاہے رادھاوکرشن کو اسٹیج پر لائیں یا کسی اور عنوان کو اپنے فن سے جوڑیں ۔
,بیشک نئے زمانے کے لوگ نئے رنگ میں رنگ چکے ہیں لیکن اس کے ساتھ ہی یہ بھی دلچسپ ہے کہ کلاسکی موسیقی اور رقص جیسے قدیم فن میں دلچسپی لینے والوں کی تعداد بڑھ رہی ہے ۔
,اس کی سب سے بڑی وجہ فنکاروں کا گہرائی سے کام کرنا کہا جائے گا ۔
,تہذیبی سرگرمیوں سے جڑے فنکار کے اندر اپنے فن کے لئے عزت ، وقار اور لگن ہو تو اس کا طرز ہمیشہ مناسب رہتا ہے ۔
,یہی ہماری سماجی تہذیب کی پہچان ہے ۔
,ہندوستان کا کلاسکی رقص پوری دنیا میں مشہور ہے ۔
,ویسے بھی رقص کی کوئی سرحد نہیں ہوتی ہے ۔
,اگر ہمارے ملک میں یہ قدیم روایت ہے تو دنیا بھر میں اس میں ڈوبنے والوں کی بھی کوئی کمی نہیں ہے ۔
,وقت کے ساتھ بھلے ہی اس کے طرز میں زیادہ تبدیلی نہیں آئی ہے لیکن اس میں حرکات وسکنات کا جو مرکب ہے وہ دلچسپ ہے ۔
sg,نہیں ، سوتیلی ماں لا کر ہم منّا کو اور دکھ میں نہیں ڈال سکتے ۔
,ارے سوتیلی ماں کیا ہمیشہ خراب ہوتی ہے ، اور پھر ہم لوگ جو ہیں منّے کو دیکھنے کے لئے ، اس کو دکھ کیسے ملیگا ۔
,حالات کو دیکھتے ہوئے ایک خیال آ رہا ہے ، کہئے تو کہوں ۔
,بیٹا اومکار ! تم اگر گُنجا سے شادی کر لو تو سارا مسئلہ حل ہو جائیگا ۔
,اس کا بھی تو بیاہ ہمیں کرنا ہی ہے ، اور تم جانتے ہو کہ منّا گُنجا سے ہلا ملا بھی ہے ۔
,گنجا نے یہ گھر دیکھا سمجھا ہے ، تم سب بھی اسے جانتے ہو ، منا کبھی بھی نہیں سمجھ پائے گا کہ گنجا اس کی ماں ہے یا نہیں ۔
,کاہے چندن ! تم کا کہتے ہو ؟
,جس میں بھیّا کی خوشی ہو کاکا ، ہمیں منظور ہے ۔
,چاچا ! اس نے تو سمجھا تھا کہ آپ اس کا بیاہ چندن سے طے کر کے آئے ہیں ۔
,یہ تو چندن کو چاہتی ہے اور چندن بھی اسی کو چاہتا ہے ۔
,لیکن چندن اگر گنجا سے بیاہ کرنا چاہتا تھا تو جس دن یہ بات طے ہوئی ، اس دن وہ بھی وہاں تھا ، اس نے کچھ کیوں نہیں کہا ؟
,بس ایک بار ہماری بات سنو گنجا ، پھر چاہے زندگی بھر ہم سے ناراض رہ لینا ۔
,تم سے ناراض رہنے کا اب کا حق ہے ہمارا ؟
,تھوڑا بہت حق جو ہم نے اپنا سمجھ لیا تھا ، وہ تو تم نے چھین ہی لیا نا ۔
,بس ایک بات نہیں سمجھ آتی کہ تم نے کس بات کا بدلہ لیا ہم سے ؟
,تمھارا بڑا بھروسہ تھا چندن !
,ہم سمجھتے تھے اگر ہماری محبت میں طاقت ہوگی تو ہم تمھیں ضرور پا لینگے ۔
,زندگی میں موہ-مایا ہی سب کچھ تو نہیں ہوتا ہے گُنجا ، ایک فرض بھی ہوتا ہے ۔
,تم تو بہت بعد آئیں گنجا ، آنکھ کھلی تو پہلے بھیّا کو جانا تھا ، باپ و ماں کے تو چہرے تک یاد نہیں ہم کو ۔
,ان کی خوشی کی خاطر ہی ہم اپنا سب کچھ نِچھاور کرنے کے لئے تیار ہو گئے ۔
,گنجا ! بات صرف ہماری نہیں رہ گئی تھی ، بھیّا کی خوشی کی بات تھی ، اس گھر کی بات تھی جسے بھابھی نے اتنے جتن سے سنوارا و سجایا ، بات ہمارے منّا کی تھی ۔
,اسلئے ہم نے سوچا کہ اس گھر کو دیکھنے و سنبھالنے کے لئے ایک تم ہی ہو اور کوئی نہیں ، اور ہم چپ رہ گئے ۔
sg,گنجا ! ہمیں اتنا بھروسہ تھا تم پر کہ اگر تم ہماری مجبوری کو سنو گی تو ہمیں سمجھو گی اور معاف کر دوگی ۔
,تم بہت بڑے ہو چندن ! ہاں ، پہلے تمھیں فقط چاہتی تھیں ، لیکن اب عقیدت کرینگے ۔
,دیوتا نہ بھی ملے ، تو کیا پجاری کی بھکتی چھوٹ جاتی ہے ؟
,ہم تمھارا اعتماد نہیں توڑینگے چندن ، کبھی نہیں NULL ، تم جو بھی کہو گے ہم وہی کرینگے ۔
,یہ کیسی باتیں کر رہے تھے تم لوگ ، ہمارے لئے تم اپنی خوشیاں چھوڑ دوگے اور ہم خوش ہو جائینگے ۔
,تم نے سمجھ کا رکھا ہے ہمیں ؟
,گنجا ! تم فکر مت کرو یہ دیوتا ہی تمھارا خاوند دیوتا بنے گا ، ہم ابھی بات کر کے آتے ہیں ۔
sg,ویدجی ! بچوں کی خوشی میں ہی ہم دونوں کی خوشی ہے ۔
,اسی میں ہم سب کا بھلا ہے ، گنجا کی مانگ تو اب چندن کو ہی بھرنے دیجئے ۔
,ٹینا بہت کریٹیکل ہے راہول ، اس کے پاس زیادہ وقت نہیں ہے ۔
,ہم نے بہت کوشش کی راہول ، مگر اس کی انٹرنل بلیڈنگ اتنی بڑھ گئی تھی کہ ہم کچھ نہیں کر سکے ۔
,میں نے اس سے پہلے ہی کہا تھا کہ اس کی ڈلیوری میں کامپلیکیشنس ہونگی ۔
,لیکن وہ یہ بھی جانتی تھی کہ تمھیں یہ بچہ کتنا چاہیئے ۔
,اسے بھی یہ اپنی زندگی سے زیادہ پیاری تھی ۔
,میں چاہتی ہوں کہ میری بیٹی مجھے جانے ۔
,اس کی ماں کیسی تھی ، کون تھی ، ان سوالوں کا جواب وہ خود دے سکے ۔
,ممّا ! میں یہ آٹھ چٹھیاں آپ کے پاس چھوڑ کر جا رہی ہوں ۔
,ان میں وہ ساری باتیں ہیں جو میں اپنی بیٹی کو کہنا چاہتی ہوں ۔
,یہی میری بیٹی کی یادیں بن کر رہ جائینگی ۔
,روپا ہمیں گائتری منتر سنائیگی ۔
,گائتری منتر تو میں بھول گئی ۔
,کیا ؟
,یہ تو کیا کہہ رہی ہے روپا ؟
,سنا بہنوں ہماری روپا گائتری منتر بھول گئی ۔
,ارے بیٹی ! تو پوجا پاٹھ میں دھیان نہیں رکھیگی تو اپنے بچوں کو کیا سکھائیگی ؟
,جو ہم کہتے ہیں ، جو ہم سوچتے ہیں ، اسی کا اثر تو ہمارے بچوں پر پڑتا ہے ۔
,جاؤٔ اسکول فنکشن کے لئے تیار ہو جاؤ ۔
sg,ہر اسٹوڈینٹ کو فقط ایک ہی منٹ دیا جائیگا ۔
,ہماری پہلی کانٹیسٹ ہے جسبندر سنگھ ۔
