,gender,sentences
635,any,ملک کے علاوہ غیرممالک میں بھی ان کی مقبولیت بےمثال ہے ۔
636,any,یہی وجہ ہے کہ این_آر_آئی ایسی اشیاء کے سب سے بڑے خریدار ہیں ۔
637,f,اس کلیکشن کی قیمت کچھ ہزار سے شروع ہوتی ہے ۔
638,any,سب سے مہنگا آئٹم ` شعلے ` کا یاک پوسٹر ہے جس کے لئے قیمت ۹۸۰۰ روپئے رکھی گئی ہے ۔
639,any,ایک اور دمدار آئٹم ہے فلم ` کالیا ` کا ایل_پی جس میں گانوں کے ساتھ ساتھ فلم کے دمدار مکالمے بھی ہیں ۔
640,,ایسے تمام آئٹمس اس سیل میں رکھے گئے ہیں جن پر ویب_سائٹ کے ` دی_اسٹوری ` حصّے کے ` بالی_ووڈ بگ_بی ` کے تحت نظر ڈالی جا سکتی ہے ۔
641,any,یہ آن_لائن سیل سائٹ پر ۱۱ مارچ کو ختم ہو رہی ہے ۔
642,,جیکی بھگنانی کی لانچنگ تو بہت بڑھیا طریقے سے ہوئی تھی لیکن اتنی ہی تیزی سے وہ گمنامی میں بھی کھوتے چلے گئے ۔
643,,مشہور پروڈیوسر واشو بھگنانی کے بیٹے جلد ہی فلم ` رنگریز ` میں دکھیں گے ۔
644,,اور اس فلم کے لئے انھوں نے چرچا میں آنے کا بہت بہتر طریقہ کھوجا ہے ۔
645,,جیکی نے یوٹیوب پر مشہور ہوئے پاپ سانگ گنگنم اسٹائل کے رائٹس خرید لئے ہیں اور اسے اپنی آنے والی فلم کے لئے شوٹ بھی کر ڈالا ہے ۔
646,any,جیکی کا کہنا ہے کہ یہ ان کے والد واشو کو ان کی جانب سے تحفہ ہے ۔
647,any,دیکھنا ہے کہ یہ تحفہ رنگریز کو ہٹ کرانے میں کام آتا ہے یا انھیں اپنے والد کو متاثر کرنے کا کوئی اور طریقہ تلاش کرنا ہوگا ۔
648,any,کچھ اتا پتا معلوم ہے تیرے کو ؟
649,,کچھ نہیں ، اور اندھیرے میں ان کا تھوبڑا تک نہیں دکھا اور آجکل گلی میں نوراتری کا ڈانڈیا چل رہا ہے ، اسے بھیڑ میں پہچاننا بھی مشکل ہے ۔
650,any,تم میں سے مکٹ بہاری کون ہے ؟
651,,مکٹ بہاری ! چپ _ چاپ یہاں سے اپنا راشنکارڈ ٹرانسفر کروا لے اور صبح کے بعد یہاں نظر مت آنا ۔
652,,تار آیا ہے ، منا بھیّا جلدی گھر آ جاؤ ، بہت بڑی مصیبت آ پڑی ہے ۔
653,,ساری دوکانیں لٹ گئی اور آج تک ہماری پولس فورس کو یہ پتہ نہیں چلا کہ وہ لوگ کون تھے ؟
654,,صرف اتنا پتہ ہے کہ لوٹیا نام کے خطرناک مجرم کی گینگ تھی ، جس کی تلاش پولس کو پہلے سے ہے ، مگر وہ موہنی کو کہاں لے کر گیا ہے اس کا پتہ تک نہیں چل سکا ۔
655,,وہاں سے جو موٹرسائکلیں برآمد ہوئی تھیں ان کے مالکوں کا کچھ پتہ چلا ؟
656,f,سر ! وہ سب چوری کی ہوئی موٹر سائکلیں تھیں ۔
657,any,سر وائرلس پر ایک پیغام ملا ہے کہ ایک شہربدر اپنے علاقے میں داخل ہوا ہے ۔
658,any,کون ہے وہ ؟
659,any,منا نام ہے اس کا ۔
660,f,آج سے سال پہلے اس علاقے سے اسے شہربدر کا حکم ہوا تھا ۔
661,f,یہ رہی اس کی فائل ۔
662,,یہ تو مہیش دیشمکھ ہے ، منا کیسے ہو گیا ؟
663,,سر ! وہ اس علاقے میں منا کے نام سے جانا جاتا ہے ، اس سے پہلے خون کے جرم میں ایک سال کی سزا کاٹ چکا ہے ۔
664,,فائل کہتی ہے کہ یہ خطرناک مجرم ہے ، مگر میری یادداشت کہتی ہے کہ یہ معصوم ، جذباتی مگر جوشیلا نوجوان تھا جو اپنے ملک کے لئے مر مٹنے کو تیار تھا ۔
665,m,آپ اسے جانتے ہیں سر ؟
666,m,جانتا تھا دو سال پہلے میری پوسٹنگ ناسک میں تھی ۔
667,m,میرے تھانے کے سامنے سنسان گلی میں ایک بینک تھا ، جس میں اس کے ماں _ باپ دونوں نوکری کرتے تھے ۔
668,any,مجھے وہ دن ابھی تک یاد ہے جس دن میں مہیش سے پہلی بار ملا تھا ۔
669,m,بابو جی ! بابو جی ! میں نے آپ سے کہا تھا نہ کہ میں بیسٹ نیوی کیڈٹ کا کپ جیت کر دکھاؤں گا ، دیکھئے ۔
670,,بیسٹ نیوی کیڈٹ کا کپ ؟
671,,ہاں ماں ! بیسٹ نیوی کیڈٹ کپ ، آئی ہیو ڈن اٹ ڈیڈ ، آئی ہیو ڈن اٹ ۔
672,f,دیشمکھ صاحب ! اب تو مٹھائی کھلانی پڑے گی ، آپ کی تمنا آپ کے بیٹے نے پوری کر دی ہے ۔
673,,ہاں ، میری تمنا تو پوری ہوئی ، اب مہیش کا خواب بھی تو پورا ہونے دیجئے ۔
674,m,کیا بننا چاہتے ہو مہیش ؟
675,,میں نودل میں شامل ہونا چاہتا ہوں سر ، ایڈمرل بننا چاہتا ہوں ۔
676,,اچھا ، دیٹس ویری گڈ ۔
677,,بچپن سے ہی نہ جانے اس کے دماغ میں کیا گھس گیا ہے ، دیش کے لئے مر مٹنے کی باتیں کرتا رہتا ہے ۔
678,any,ضرور پچھلے جنم میں حب_الوطن رہا ہوگا ، جو ملک کی آزادی کے لئے شہید ہو گیا ۔
679,,اچھا ماں میں چلتا ہوں ، شام کو گھر پر ملینگے ، اچھا ۔
680,,دیکھو ، میں بیس سال سے اس بینک کا نمک کھا رہا ہوں اور ان کے پیسوں کی حفاظت کرنا میرا فرض ہے ۔
681,,فرض کے ليے مجھے اگر جان بھی دینی پڑی تو مجھے اس کی فکر نہیں ۔
682,,وہ عورت بینک کے اندر جا رہی ہے سر ! ان کی جان کو خطرہ ہو سکتا ہے سر ۔
683,,تم ایسا کرو یہاں سے چلے جاوء ، راستے میں اگر پولس ملے تو میرے پاس بھیج دینا ۔
684,,سر ! میری ماں اور بابو جی اندر پھنسے ہوئے ہیں اور میں یہاں سے چلا جاؤں ۔
685,,دیکھو ان لوگوں کے پاس بندوقیں ہیں ، کبھی بھی گولی چل سکتی ہے اور تمھاری جان کو خطرہ ہو سکتا ہے ، سمجھے ۔
686,,کیا برائیوں اور گناہوں کے خلاف لڑنے اور جان دینے کا حق صرف آپ وردی والوں کو ہے ، ہم لوگوں کو نہیں ؟
687,,کیوں سر ؟
688,any,ویسے میں نے اپنی جان ملک کے نام اسی دن لکھ دی تھی سر جس دن میں نے یہ وردی پہنی تھی ۔
689,any,سر ! اس عورت اور بچی کو بینک کے اندر جانے سے روکنا بہت ضروری ہے سر ۔
690,,آپ کی وردی دیکھ کر ڈاکو گولی چلا سکتے ہیں ، میں جا کر عورت کو واپس لے آتا ہوں سر ۔
691,,پلیز گو می آرڈر سر ! آپ مجھے حکم دیجئے ، پلیز سر ۔
692,,مہیش کی سب سے خوشی کا دن منٹوں میں سب سے دکھی دنوں میں بدل گیا تھا ، زندگی کو اس سے بڑا مذاق کرتے میں نے نہیں دیکھا تھا ۔
693,,کچھ دنوں میں مہیش اپنی بہن کو لے کر ممبئ چلا گیا تھا ، مگر اس دن کے بعد محسوس ہونے لگا کہ میرے درد کو سہنے کی طاقت بڑھ گئ ہے ۔
694,,خیر ، شہر کا کونا کونا چھان مارو اور باہر جانے والے راستے بند کر دو ، اس آدمی کا پکڑا جانا میرے لیے بہت ضروری ہے ۔
695,,کیونکہ میں یہ جاننا چاہتا ہوں کہ یہ مہیش سے منا کیسے بن گیا ؟
696,,جیوتی ! ابھی ایک سال پورے ہونے میں چار دن باقی ہیں ، ابھی تک شہربدر کا سکہ میرے ماتھے پر لگا ہوا ہے ۔
697,,پولس میرے پیچھے کتے کے موافق پڑی ہوئی ہے اور تم جانتی ہو جب تک میں سزا کاٹ نہیں لیتا ، میں بمبئ واپس نہیں آ سکتا ۔
698,any,بتاؤ کس کے لئے بلایا مجھے ؟
699,any,کسی بھی انتخابی علاقہ کی صحیح تصویر جاننے کے لئے سب سے پہلے تو ذات ، مذہب ، پارٹی کے تعصبات سے دور رہنا ضروری ہے ۔
700,,نامہ_نگار کا کام کسی ذات ، مذہب یا پارٹی کے امیدوار کو نہ کامیاب کرنا ہے ، نہ ناکام کرنا ہے ۔
701,,کوئی امیدوار کسی اخبار کے جتانے سے نہ جیتتا ہے ، نہ ہارتا ہے ۔
702,m,وہ اخبار کے رول کو اس معاملے میں بہت پیچیدہ وجوہات سے لیتا ہے ۔
703,,اسلئے ایک نامہ_نگار کو یہ بھرم نہیں ہونا چاہیئے کہ اس کی ایک یا دو رپورٹ کسی پارٹی کے امیدوار کی قسمت کا فیصلہ کر سکتی ہے ۔
704,,اسلئے جب نامہ_نگار کسی انتخابی حلقہ میں جائیں تو اپنے سارے تعصبات یا بدگمانی ایک طرف رکھ کر جائیں ۔
705,m,دوسرا بھرم ذاتی مساوات کی بنیاد پر کھڑا ہوتا ہے ۔
706,any,مان لیجئے ایک انتخابی حلقہ میں کئی سیاسی پارٹیوں کے امیدوار اہم طور سے میدان میں ہیں ۔
707,m,اب آپ جس امیدوار یا اس کے حامی کے پاس جائینگے تو وہ ذاتی جوڑ - توڑ ، جوڑ - بقایا لگا کر بتائےگا کہ ماحول اس کی حمایت میں ہے ۔
708,,لیکن سب سے زیادہ ذات - پات بہار میں ہے اور یہ لازمی نہیں ہے کہ کوئی امیدوار ذات کی بنیاد پر جیتے ۔
709,,کچھ رائےدہندگان کسی خاص پارٹی کے تئیں ایماندار ہوتے ہیں ، کچھ رائےدہندگان اپنی ذات کے امیداوار سے ناراض ہوتے ہیں ، کچھ علاقہ کی اندیکھی کے سبب کسی خاص امیدوار کو حمایت دینا یا نہیں دینا چاہتے ہیں ۔
710,any,کئی مرتبہ کسی امیدوار کا کوئی تبصرہ یا اس کا عوامی سلوک رکاوٹ یا وسیلہ بن جاتا ہے ۔
711,f,اسلئے نسلی مساوات کی بنیاد پر کسی بھی امیدوار کی جیت یا ہار طے نہیں ہوتی ۔
712,f,عموماً نسل تمام عادلانہ عناصر میں سے ایک ہوتی ہے ۔
713,any,اسلئے انتخابات کو اپنے عینک سے نہ دیکھیں ۔
714,any,اہم یہ ہے کہ اسے دوسرے کے عینک سے دیکھیں ۔
715,any,آپ اس سچائی کو بدل نہیں سکتے ۔
716,any,اسلئے اپنی رپورٹ میں اس سچائی کو ظاہر کریں ۔
717,any,یہ سچائی آپ تبھی ظاہر کر پائینگے جب آپ اسے دیکھ سکینگے ۔
718,m,اسے دیکھ سکینگے ، جب آپ پارٹی بندی ، ذات _ بندی ، انفرادی ، فرقہ _ وارانہ تعصبات سے دور ہونگے ۔
719,m,جب آپ لالچ یا دھمکی یا بہکاوے سے دور ہونگے ۔
720,,آپ انتخابی میدان میں استعمال ہونے نہیں ، حقائق کا مدلل ڈھنگ سے استعمال کرنے کے لئے جاتے ہیں ۔
721,,اپنی آنکھیں اور دماغ بند کرنے نہیں ، کھولنے جاتے ہیں ۔
722,,اپنے تخیلات اور خوابوں کی تعبیر کرنے نہیں ، حقائق اور سچائیوں کا سامنا کرنے جاتے ہیں ۔
723,m,اسلئے رائےدہندہ کے روپ میں آپ اپنے فیصلے کو انتخابی رپورٹ لکھنے پر حاوی نہ ہونے دیں ۔
724,any,اپنے دونوں رول کو الگ - الگ دیکھیں ۔
725,,ایک کا رول دوسرے پر دوسرے کا رول پہلے پر نہ لادیں ۔
726,any,پھر وہ کہنا شاید لازمی ہے کہ رپورٹ میں فیصلے نہ دیں ۔
727,,رپورٹ ، رپورٹ ہوتی ہے فیصلہ نہیں ۔
728,,لیکن اس کا یہ مطلب نہیں کہ آپ حقائق کو مدلل و پراعتماد طور سے نہ رکھیں اور انتخابات کی ایک مکمل تصویر نہ دیں ۔
729,any,ہر اہم امیدوار کے انتخابی دفتر میں جائیں ۔
730,any,وہاں اہم انتخابی منتظم سے بات کریں ۔
731,m,ہر پارٹی کا انتخابی منتظم بڑھ چڑھ کر ، غیرمعروف اور بےبنیاد باتیں کرےگا ۔
732,,لیکن تین چار امیدواروں یا ان کے انتخابی منتظمین سے باتیں کرنے پر تصویر کچھ صاف ہوگی ۔
733,f,ان سے حاصل یکسر مخالف حقائق کے درمیان بھی ایک تصویر آپ کو صاف دکھیگی ۔
734,f,کم سے کم دو تین اہم طاقت اور کمزوری کا پتا لگیگا ۔
735,m,ان کے دعووں و دلیلوں کی حقیقت کا پتا چلیگا ۔
736,m,ان کے انتخابی مہم کے نظام کا پتا چلیگا ۔
737,,موقع ملے تو امیدوار کے ساتھ تھوڑا گھومیں ۔
738,,انتخابی جلسہ ہو رہا ہے تو وہ دیکھیں ۔
739,any,کسی پارٹی کا جلوس نکل رہا ہے تو اس کے تئیں لوگوں کا کیا رخ ہے ، اس پر نظر رکھیں ۔
740,,لیکن کبھی اس رعب میں نہ آئیں کہ فلاں امیدوار تو ہار ہی نہیں سکتا ۔
741,,یا فلاں پارٹی کی حمایت میں مبینہ طور سے پورے ملک یا ریاست میں ہوا بہہ رہی ہے تو اس کا امیدوار یہاں سے جیتیگا ۔
742,any,مدافعت کے متعلق اپنے ملک کی حفاظت سے لےکر دنیا کے تحفظاتی ماحول کے بارے میں علم ہونا ضروری ہے ۔
743,,یہ موضوع اسلئے حساس ہیں کیونکہ ذرا سی غلطی آپ کی اپنی قومی سلامتی کے لئے خطرہ ہو سکتی ہے ۔
744,,دو ممالک کے درمیان تناو پیدا کر سکتی ہے اور آپ کی فوج کا حوصلہ ناحق ٹوٹ سکتا ہے ۔
745,any,یہ بھی عجیب بات ہے کہ کویت و عراق جنگ کے دوران دنیا بھر میں دفاعی مضمون_نگاروں کی فوج ایسے کھڑی ہو گئی جیسے ` مشروم ` کی پیداوار ہوتی ہے ۔
746,any,یہی سبب ہے کہ اس وقت دفاعی مضمون_نگاروں کی بیشتر پیشنگوئیاں غلط ثابت ہوئیں ۔
747,any,دفاع کی صحیح اور مناسب رپورٹنگ کے لئے لازمی ہے کہ نامہ_نگار میدان میں جائیں اور خود وہاں کے حالات کا مطالعہ کریں ۔
748,m,اس زمرے میں دنیا کے سب سے اونچے جنگی مقام سیاچن کا سوال آتا ہے ۔
749,,عمدہ_ترین غیرفیچر فلم کا انعام راجاشبیرخان کی فلم ` شیفرڈ آف پیراڈائز ` کو دیا گیا ہے جبکہ سنیما پر عمدہ_ترین کتاب کا انعام بی ڈی گرگ کی ` سائلنٹ سنیما آف انڈیا اے پکٹوریل جرنی ` کو دیا گیا ہے ۔
750,any,ممبئی دہشت_گردانہ حملے پر بنی ، مشہور فلمکار رام گوپال ورما کی فلم ` دی اٹیکس آف 26 / 11 ` پر کچھ حساس مناظر کی وجہ سے خطرے کے بادل چھا گئے ہیں ۔
751,any,ہندستان پر ہوئے بڑے دہشت_گردانہ حملے کی حقیقی کہانی پر مبنی اس فلم کے کچھ مناظر پر حکومت سمیت حفاظتی اور خفیہ ایجنسیوں کو اعتراض ہے ۔
752,any,وزارتِ_داخلہ نے مرکزی سنسربورڈ سے فلم کو دوبارہ دیکھ کر کچھ مناظر کا تبصرہ کرنے کو کہا ہے ۔
753,any,26 / 11 حملے کے بعد تنازعات سے جڑے رہے ورما کی فلم پر سرکاری مصیبتوں کو دیکھ کر مانا جا رہا ہے کہ انھیں کچھ مناظر سے کانٹ چھانٹ کرنی پڑ سکتی ہے ۔
754,any,اعلیٰ_منصبی ذرائع کے مطابق وزارت داخلہ نے سنسربورڈ کو خط لکھا ہے ۔
755,any,اس میں کہا گیا ہے کہ ملک کی اندرونی حفاظت کی ذمہ_داری وزارت_داخلہ کی ہے ۔
756,,لہٰذا اسے ` دی اٹیکس آف 26 / 11 ` کے بارے میں یقین میں رکھا جائے ۔
757,any,اعتراضات کی فہرست کے ساتھ وزارت نے سنسربورڈ سے کچھ مکالمات اور مناظر میں ترمیم کرانے کو بھی کہا ہے ۔
758,any,ذرائع کے مطابق خفیہ محکمے نے سرکار کو آگاہ کیا کہ فلم میں حملے کے دوران ریاستی اور مرکزی سرکاروں کو مایوس اور تذبذب میں دکھایا گیا ہے ۔
759,any,فلم میں تین دن تک تاج_ہوٹل میں پاکستانی دہشتگردوں کے ساتھ ہوئی خونی جنگ کے دوران سرکار اور حفاظتی ایجنسیوں کو فیصلے لینے میں دیر کرتے اور ڈُہل_مل رویہ اپناتے بھی دکھایا گیا ہے ۔
760,any,ناناپاٹیکر فلم میں اہم پولس افسر کے رول میں رہے ہیں ۔
761,any,فائدوں کے کھیل میں لوگوں کو عام آدمی کی سچی آواز سے واقف کرانے والے بےحد کم ہی لوگ ہیں ۔
762,any,مشہور طنزنگار اور جانے مانے صحافی انوج کھرے کا نام ایسے ہی کچھ ایک منتخب لوگوں میں گنایا جا سکتا ہے ۔
763,any,` چلّرچنتن ` کے بعد کھرے کا یہ دوسرا طنزیہ مجموعہ ہے ۔
764,m,کھرے خود مانتے ہیں کہ کوئی پتہ نہ کھڑکے ، کسی کے اندر ہلچل نہ ہو ، کوئی گل نہ کھلے ، کوئی نظام نہ بدلے کوئی کھیل نہ ہو تو لکھنے سے بھلا کیا فائدہ ؟
765,m,فائدے کا یہی راز ان کے طنز کی دھار میں نظر آتا ہے ۔
766,any,قلمکار کا ماننا ہے کہ خطرے نہ ہوں تو زندگی بدرنگ ہو جاتی ہے ۔
767,,لہٰذا داد یا حقارت کی پرواہ کئے بغیر اس نے قلم چلائی ہے ۔
768,any,روٹین کے انقلابیوں کی خبر لینی ہو یا انقلاب کے امکانات کو پگھلنے کے کگار پر دیکھنا ، تند خیالات کا تابوت اٹھانا ہو یا اپنا قد کتابوں پر کھڑے ہو کر بڑھنے والوں کی تعریف کرنا انوج ایکدم کھرے ثابت ہوئے ہیں ۔
769,,انھوں نے جذبہءمذمت کا جدیدترین شمارہ بھی تلاش کیا ہے اور سمپیتھی مینجمنٹ کو بھی سادھا ہے وہ لَو کا لوچا پکڑ پانے میں کامیاب رہے ہیں تو مائکے گئی بیوی کو ایک بےرنگ خط بھی لکھ مارے ہیں ۔
770,any,ان کی زبان میں مست مولاپن اور چوکنّی شوخی ہے جو پکڑ لیتی ہے کہ کہے جا رہے لفظ کے مضمرات کیا ہیں ۔
771,any,تقریباً ۲۰ برس کے وقفے کے بعد کسی قلمکار کے نئے تخلیقی عمل کا آنا حیرانی بھرا ہو سکتا ہے ۔
772,,لیکن اس وجہ سے راجا خُگشال جیسے قلمکار کے نئے شعری مجموعے ` پہاڑ شیرشک ہے پرتھوی کے ` کو نظرانداز قطعی نہیں کیا جا سکتا ۔
773,any,۱۹۸۳ میں مکالمے کے سلسلے اور ۱۹۹۱ میں شائع ` صدی کے شیش ورش ` کے بعد یہ راجاخُشگال کا تیسرا شعری مجموعہ ہے ۔
774,m,ان کی شاعری میں وقت سماج ، تہذیب اور نظام سے لے کر ماحول سے جڑا تفکر نظر آتا ہے ۔
775,m,اسلئے یہ کہنا غلط نہیں ہوگا کہ راجا خُشگال نے شاعری کے تئیں اپنی بےپروائی اور بےاعتنائی کے درمیان اپنے اندر کے شاعر کو زندہ رکھا ہے ۔
776,m,لمبے عرصے کے باوجود ان کے اندر کے شاعر نے اپنے وقت اور سماج کو شاعری سے اوجھل نہیں ہونے دیا۔
777,any,راجا خُشگال کی شاعری کے کئی رنگ ہیں ۔
778,,کبھی وہ ` دنیا کا چہرا ` شاعری میں بدلتے چہروں کو بیاں کرتے ہیں تو کبھی ` بھوٹئے ` نظموں میں ایک تہذیب کی کہانی کہتے ہیں ۔
779,,` میل کا پتھر ` چھوٹی سی نظم ہے لیکن ایک مطلب بہت بڑا ہے ۔
780,m,میل کے پتھروں کو بھی وہ راہبر اور ہمسفر مانتے ہیں ۔
781,any,اسی طرح ` اننت میں مون ` ( آنجہانی شمشیرجی کے لئے عزت کے ساتھ ) کی شعری زبان سادی اور آسان ہے لیکن شعری پن بالکل خالی نہیں ۔
782,any,انھوں نے جو بھی محسوس کیا اسے عزت اور وقار کے ساتھ آسان زبان میں شاعری کا روپ دے دیا ۔
783,,لفظ اگر اظہار کا ذریعہ ہے تو رقص اظہار کا ایک طرز ہے ۔
784,m,سُر ، تال اور لے سے جڑ کر رقص صدیوں سے ہمارے جذبات کو زباں بناتا آیا ہے ۔
785,,موسم بدلے یا ماحول
786,any,ہر موقعے کے مطابق ایک علاحدہ رقص نے ہمارے ملک کی روایات کو متمول کیا ہے ۔
787,m,ان روایات کا تعاون تب اور بھی صاف نظر آتا ہے جب رقص کے نام سے ہی ایک ریاست کو پہچانا جانے لگتا ہے ۔
788,,حالانکہ ہر علم کے ساتھ فنکار کی اپنی علمیت کی بھی بہت اہمیت ہے ۔
789,f,جب کوئی بھی اچھا فنکار پیشکش دیتا ہے تو اس سے روایت مضبوط ہوتی ہے ۔
790,,اس میں تلاش کی بھی اپنی اہمیت ہے کیونکہ فنکار کا تخیل جتنا اونچا ہوگا پیشکش اتنی ہی عمدہ ہوگی ۔
791,,پھر چاہے رادھاوکرشن کو اسٹیج پر لائیں یا کسی اور عنوان کو اپنے فن سے جوڑیں ۔
792,,بیشک نئے زمانے کے لوگ نئے رنگ میں رنگ چکے ہیں لیکن اس کے ساتھ ہی یہ بھی دلچسپ ہے کہ کلاسکی موسیقی اور رقص جیسے قدیم فن میں دلچسپی لینے والوں کی تعداد بڑھ رہی ہے ۔
793,any,اس کی سب سے بڑی وجہ فنکاروں کا گہرائی سے کام کرنا کہا جائے گا ۔
794,,تہذیبی سرگرمیوں سے جڑے فنکار کے اندر اپنے فن کے لئے عزت ، وقار اور لگن ہو تو اس کا طرز ہمیشہ مناسب رہتا ہے ۔
795,any,یہی ہماری سماجی تہذیب کی پہچان ہے ۔
796,any,ہندوستان کا کلاسکی رقص پوری دنیا میں مشہور ہے ۔
797,f,ویسے بھی رقص کی کوئی سرحد نہیں ہوتی ہے ۔
798,,اگر ہمارے ملک میں یہ قدیم روایت ہے تو دنیا بھر میں اس میں ڈوبنے والوں کی بھی کوئی کمی نہیں ہے ۔
799,,وقت کے ساتھ بھلے ہی اس کے طرز میں زیادہ تبدیلی نہیں آئی ہے لیکن اس میں حرکات وسکنات کا جو مرکب ہے وہ دلچسپ ہے ۔
800,f,نہیں ، سوتیلی ماں لا کر ہم منّا کو اور دکھ میں نہیں ڈال سکتے ۔
801,,ارے سوتیلی ماں کیا ہمیشہ خراب ہوتی ہے ، اور پھر ہم لوگ جو ہیں منّے کو دیکھنے کے لئے ، اس کو دکھ کیسے ملیگا ۔
802,any,حالات کو دیکھتے ہوئے ایک خیال آ رہا ہے ، کہئے تو کہوں ۔
803,,بیٹا اومکار ! تم اگر گُنجا سے شادی کر لو تو سارا مسئلہ حل ہو جائیگا ۔
804,,اس کا بھی تو بیاہ ہمیں کرنا ہی ہے ، اور تم جانتے ہو کہ منّا گُنجا سے ہلا ملا بھی ہے ۔
805,,گنجا نے یہ گھر دیکھا سمجھا ہے ، تم سب بھی اسے جانتے ہو ، منا کبھی بھی نہیں سمجھ پائے گا کہ گنجا اس کی ماں ہے یا نہیں ۔
806,m,کاہے چندن ! تم کا کہتے ہو ؟
807,,جس میں بھیّا کی خوشی ہو کاکا ، ہمیں منظور ہے ۔
808,m,چاچا ! اس نے تو سمجھا تھا کہ آپ اس کا بیاہ چندن سے طے کر کے آئے ہیں ۔
809,,یہ تو چندن کو چاہتی ہے اور چندن بھی اسی کو چاہتا ہے ۔
810,,لیکن چندن اگر گنجا سے بیاہ کرنا چاہتا تھا تو جس دن یہ بات طے ہوئی ، اس دن وہ بھی وہاں تھا ، اس نے کچھ کیوں نہیں کہا ؟
811,,بس ایک بار ہماری بات سنو گنجا ، پھر چاہے زندگی بھر ہم سے ناراض رہ لینا ۔
812,any,تم سے ناراض رہنے کا اب کا حق ہے ہمارا ؟
813,any,تھوڑا بہت حق جو ہم نے اپنا سمجھ لیا تھا ، وہ تو تم نے چھین ہی لیا نا ۔
814,f,بس ایک بات نہیں سمجھ آتی کہ تم نے کس بات کا بدلہ لیا ہم سے ؟
815,m,تمھارا بڑا بھروسہ تھا چندن !
816,m,ہم سمجھتے تھے اگر ہماری محبت میں طاقت ہوگی تو ہم تمھیں ضرور پا لینگے ۔
817,,زندگی میں موہ-مایا ہی سب کچھ تو نہیں ہوتا ہے گُنجا ، ایک فرض بھی ہوتا ہے ۔
818,,تم تو بہت بعد آئیں گنجا ، آنکھ کھلی تو پہلے بھیّا کو جانا تھا ، باپ و ماں کے تو چہرے تک یاد نہیں ہم کو ۔
819,any,ان کی خوشی کی خاطر ہی ہم اپنا سب کچھ نِچھاور کرنے کے لئے تیار ہو گئے ۔
820,,گنجا ! بات صرف ہماری نہیں رہ گئی تھی ، بھیّا کی خوشی کی بات تھی ، اس گھر کی بات تھی جسے بھابھی نے اتنے جتن سے سنوارا و سجایا ، بات ہمارے منّا کی تھی ۔
821,m,اسلئے ہم نے سوچا کہ اس گھر کو دیکھنے و سنبھالنے کے لئے ایک تم ہی ہو اور کوئی نہیں ، اور ہم چپ رہ گئے ۔
822,m,گنجا ! ہمیں اتنا بھروسہ تھا تم پر کہ اگر تم ہماری مجبوری کو سنو گی تو ہمیں سمجھو گی اور معاف کر دوگی ۔
823,,تم بہت بڑے ہو چندن ! ہاں ، پہلے تمھیں فقط چاہتی تھیں ، لیکن اب عقیدت کرینگے ۔
824,,دیوتا نہ بھی ملے ، تو کیا پجاری کی بھکتی چھوٹ جاتی ہے ؟
825,,ہم تمھارا اعتماد نہیں توڑینگے چندن ، کبھی نہیں NULL ، تم جو بھی کہو گے ہم وہی کرینگے ۔
826,,یہ کیسی باتیں کر رہے تھے تم لوگ ، ہمارے لئے تم اپنی خوشیاں چھوڑ دوگے اور ہم خوش ہو جائینگے ۔
827,m,تم نے سمجھ کا رکھا ہے ہمیں ؟
828,,گنجا ! تم فکر مت کرو یہ دیوتا ہی تمھارا خاوند دیوتا بنے گا ، ہم ابھی بات کر کے آتے ہیں ۔
829,any,ویدجی ! بچوں کی خوشی میں ہی ہم دونوں کی خوشی ہے ۔
830,any,اسی میں ہم سب کا بھلا ہے ، گنجا کی مانگ تو اب چندن کو ہی بھرنے دیجئے ۔
831,,ٹینا بہت کریٹیکل ہے راہول ، اس کے پاس زیادہ وقت نہیں ہے ۔
832,,ہم نے بہت کوشش کی راہول ، مگر اس کی انٹرنل بلیڈنگ اتنی بڑھ گئی تھی کہ ہم کچھ نہیں کر سکے ۔
833,m,میں نے اس سے پہلے ہی کہا تھا کہ اس کی ڈلیوری میں کامپلیکیشنس ہونگی ۔
834,,لیکن وہ یہ بھی جانتی تھی کہ تمھیں یہ بچہ کتنا چاہیئے ۔
835,f,اسے بھی یہ اپنی زندگی سے زیادہ پیاری تھی ۔
836,f,میں چاہتی ہوں کہ میری بیٹی مجھے جانے ۔
837,,اس کی ماں کیسی تھی ، کون تھی ، ان سوالوں کا جواب وہ خود دے سکے ۔
838,any,ممّا ! میں یہ آٹھ چٹھیاں آپ کے پاس چھوڑ کر جا رہی ہوں ۔
839,any,ان میں وہ ساری باتیں ہیں جو میں اپنی بیٹی کو کہنا چاہتی ہوں ۔
840,any,یہی میری بیٹی کی یادیں بن کر رہ جائینگی ۔
841,f,روپا ہمیں گائتری منتر سنائیگی ۔
842,f,گائتری منتر تو میں بھول گئی ۔
843,,کیا ؟
844,any,یہ تو کیا کہہ رہی ہے روپا ؟
845,,سنا بہنوں ہماری روپا گائتری منتر بھول گئی ۔
846,,ارے بیٹی ! تو پوجا پاٹھ میں دھیان نہیں رکھیگی تو اپنے بچوں کو کیا سکھائیگی ؟
847,,جو ہم کہتے ہیں ، جو ہم سوچتے ہیں ، اسی کا اثر تو ہمارے بچوں پر پڑتا ہے ۔
