,person,sentences
811,3,ఆ గుడ్డులో ఆహారం నిలవ ఉంటుంది .
812,,అది చాలా బలమైంది NULL .
813,3,పిల్ల ఈ ఆహారం తీసుకుంటుంది .
814,3,తరవాత బయట పడుతుంది .
815,3,కడుపులోని ఆవు దూడకు ఆహారం తల్లి ఆవు అందుతుంది .
816,3,రక్తంతో ఇది అందుతుంది .
817,3,ఊపిరి ఇలాగే అందుతుంది .
818,3,దూడ ఎదిగాక బయట పడుతుంది .
819,,మనం అలాగే కంటాం .
820,3,బిడ్డ తల్లి కడుపులో పెరుగుతుంది .
821,3,తొమ్మిది నెలలు కడుపులో ఉంటుంది .
822,3,నెలలు నిండేసరికి అవయవాలు ఎదుగుతాయి .
823,3,ఈ ఉమ్మనీరు పిండానికి దెబ్బ తగలనివ్వదు .
824,3,జాగ్రత్తగా పిండాన్ని కాపాడుతుంది .
825,,తల్లిని పిండాన్ని కలిపేదే బొడ్డు తాడు NULL .
826,3,బొడ్డు తాడు లోపలి పిండానికి అన్నీ చేరుస్తుంది .
827,3,ఆహారం గాలి తల్లి బిడ్డకు చేరుస్తుంది .
828,3,మాయ బిడ్డ పుట్టినపుడు బయటకు వస్తుంది .
829,3,మూడు నెలలకు పిండం చూపుడు వేలంత ఉంటుంది .
830,3,బరువు 20 గ్రాములు ఉంటుంది .
831,3,అవయవాలు కొంచెం తయారవుతాయి .
832,,ఎముకలగూడు కనబడుతుంది కండరాలు నాడులు కనబడతాయి .
833,3,రక్తనాళాలు కనబడతాయి .
834,3,కడుపులో బిడ్డ ఉందని ఇప్పుడు అనిపిస్తుంది .
835,any,తల్లి మంచి ఆహారం తినాలి .
836,any,పాలు తాగాలి .
837,any,బిడ్డ కడుపులో తిరుగుతూ .
838,3,అయిదో నెల వస్తుంది .
839,3,బరువు 300 గ్రాములు ఉంటుంది .
840,any,కాళ్లతో తంతూ .
841,any,చురుకుగా తిరుగుతూ .
842,3,ఏడో నెల వస్తుంది .
843,3,బిడ్డ ఇంకా పెరుగుతుంది .
844,any,కడుపులో తిరుగుతూ .
845,3,చాలా కాలం తల ముందు ఉంచుతుంది .
846,3,బిడ్డ ఉన్న సంచిని బిడ్డ సంచి అంటారు .
847,3,బిడ్డ సంచిలోనే ఉమ్మనీరు ఉంటుంది .
848,3,తొమ్మిది నెలలు నిండుతాయి .
849,3,బిడ్డ సంచి గోడలు కదులుతాయి .
850,3,పోను పోను గోడలు నొక్కుకుంటాయి .
851,3,తల్లికి పురుటి నొప్పులు మొదలవుతాయి .
852,3,ఇలా కొన్ని గంటలు ఉంటాయి .
853,any,బిడ్డ ఒత్తిడి చేయడంతో ఉమ్మసంచి చితికి .
854,any,తలుపులు తీసినట్టు .
855,3,నొప్పులు ఎక్కువ అవుతాయి .
856,3,బిడ్డ బయట పడుతుంది .
857,3,ముందు తల వస్తుంది .
858,3,డాక్టరమ్మ తలను అందుకుంటుంది .
859,3,నెమ్మదిగా తీస్తుంది .
860,,వెంటనే బొడ్డు తాడు కోస్తుంది పొట్టమీద బొడ్డు మచ్చ మిగులుతుంది .
861,any,ఇపుడు బిడ్డకు గాలి కావాలి .
862,3,బిడ్డ మొదటిసారిగా ఊపిరి తీసుకుంటుంది .
863,3,అప్పుడప్పుడు బిడ్డకు ఊపిరి అందదు .
864,3,అప్పుడు డాక్టరు బిడ్డ తల కిందకు వేస్తుంది .
865,3,కాళ్లను పట్టుకొని వీపు తడుతుంది .
866,3,ఒక్కోసారి బిడ్డ తల ముందు రాదు .
867,3,చేతులు తొడలు ముందు వస్తాయి .
868,any,అప్పుడు ఆపరేషన్ చేయాలి .
869,any,అలా చేసి బిడ్డను బయటకు తీయాలి .
870,3,ఒక్కోసారి కవలలు పుడతారు .
871,3,ఒక గుడ్డు చీలితే ఆ కవలలు ఒకే ఉంటారు .
872,3,విడిగా పిండం అయితే వేరే పోలికలతో పుడతారు .
873,,పురుడు తల్లికీ బిడ్డకూ గండమే ఇప్పుడు మంచి మందులు వచ్చాయి .
874,,కనుక భయం లేదు .
875,3,తల్లికి పిల్లకు బాధ తప్పదు .
876,3,పుట్టగానే పాప ఏడుస్తుంది .
877,,కారణం బయటకు రాగానే వేరే వాతావరణం NULL . కళ్లకు వెలుగు తగిలి ఏడుస్తుంది .
878,any,పురుడు గదిలో వెలుతురు తగ్గించాలి .
879,any,పుట్టగానే తల్లి పొట్టమీద ఉంచాలి .
880,any,నులి వేడినీళ్లతో కడగాలి .
881,any,మెత్తని తుండుతో తుడవాలి .
882,any,తల్లికి దగ్గరగా ఆనించాలి .
883,3,బిడ్డ ఇంతదాక తల్లి గుండె చప్పుడు వినింది .
884,3,తొమ్మిది నెలలు వినింది .
885,,అందుకే దగ్గరగా ఉంచాలి .
886,3,మొదట తల్లికి ముర్రుపాలు వస్తాయి .
887,3,ఇవి బిడ్డను బలంగా ఉంచుతాయి .
888,,రోగాలు రాకుండా కాపడతాయి .
889,any,రొమ్ము పట్టాలి .
890,3,శారద అంతా వింది .
891,3,చాలా సంగతులు తెలుసుకుంది .
892,,రాములుది నాగాపురం NULL .
893,3,రాములు కూతురు రమ చదువుకుంది .
894,3,ఇరవై ఏళ్లు నిండాయి .
895,any,కూతురికి చేయాలి .
896,3,రాములు ఆలోచించాడు .
897,3,కొడుకుల వెతికాడు .
898,3,రాములు కంటికి రంగడు కనిపించాడు .
899,,రంగడు రాఘవులు కొడుకు NULL .
900,3,బోలెడంత సంపాదించాడు .
901,3,పది ఎకరాల పొలం ఉంది .
902,,రంగడు రమకు సరైన జోడి NULL .
903,,తిండికి కొదువలేదు . అని రాములు ఆలోచన NULL .
904,3,మామ చేతిలో పెరిగాడు .
905,3,చదువు అబ్బింది .
906,,రమకు గోపాలంనే చేసుకోవాలని NULL ఉంది .
907,any,విషయం నాయనతో అంది .
908,,కాని సంపద ఉండాలి .
909,,చదువు ఎందుకు NULL .
910,any,చదువు ఉండాలి .
911,3,చదువు తెలివిని పెంచుతుంది .
912,any,చదువుతో ఏదైనా జయించగలం . అని రమ నాయనతో అంది .
913,3,చదువు ఏరకంగా ఆదుకుంటుంది .
914,3,"రాములు గోపాలంను , రంగడిని పిలిపించాడు ."
915,1,నేను ఒక పందెం పెడతాను .
916,3,"గోపాలం , రంగడు సరే అని తల ఊపారు"
917,3,రమ చెరి ఒక మూట అందించింది .
918,,ఇవి నగల మూటలు NULL .
919,3,మా తాత పొరుగూరిలో ఉంటాడు .
920,any,ఈ మూటలను మా తాతకు అందించాలి .
921,3,మూటలతోపాటు చెరి ఒక చీటీ ఇచ్చింది .
922,3,ఊరికి వెళ్లే దారిలో అడవి ఉంది .
923,3,తోవలో గుడి ఉంది .
924,any,చీకటివేళ గుళ్లో గడపండి . అని రమ అంది .
925,3,"గోపాలం , రంగడు మూటలతో బయలుదేరారు ."
926,3,గోపాలంకు పందెం గెలవాలని ఉంది .
927,any,రంగడికీ పందెం గెలవాలని .
928,any,రమను చేసుకోవాలని .
929,3,నడక సాగించారు .
930,3,పగలంతా నడిచారు .
931,3,చీకటి పడింది .
932,3,దారిలో గుడి కనపడింది .
933,any,చీటిలో ఏమీ ఉందో చూడాలని .
934,3,పడుకునేముందు రంగడు చీటి తీసాడు .
935,any,ఏం రాసి ఉందో గోపాలంను అడగాలని .
936,,కాని తనకు చదువు రాదని తెలిసిపోతుంది .
937,,అందుకే అడగలేదు .
938,3,చీటీ ని జేబులోనే ఉంచాడు .
939,3,తలకింద మూట ఉంచుకుని నిద్రపోయాడు .
940,3,కొంతసేపటికి గోపాలం చీటి తీశాడు .
941,any,గుళ్లో దొంగల భయం అని రాసి .
942,any,గోపాలం నిద్రపోలేదు .
943,3,గుడి పూజారి ఇంటికి పోయాడు .
944,3,మూటను దాచి అడిగాడు .
945,3,పూజారి మూటను లోపల దాచాడు .
946,3,తరవాత గోపాలం గుడికి చేరాడు .
947,3,బాగా చీకటి పడింది .
948,3,దొంగలు వచ్చారు .
949,3,రంగడి తలకింది మూట తీశారు .
950,3,నగలు తీసుకుని పారిపోయారు .
951,3,పోతూపోతూ రాళ్ళు పోగుచేశారు .
952,3,రంగడి మూటలో ఉంచారు .
953,any,ఇదంతా జరిగినా రంగడు లేవలేదు .
954,3,బాగా అలసిపోయాడు .
955,3,దొంగలు గోపాలం మూటకోసం చూశారు .
956,,కాని మూట కనిపించలేదు .
957,3,దొంగలు రంగడి నగలతో పారిపోయారు .
958,3,"గోపాలం , రంగడు లేచారు ."
959,3,గోపాలం పూజారిని కలిశాడు .
960,3,మూట తీసుకొని గుడికి చేరాడు .
961,any,తన చీటీలో దొంగల భయం అని రాసి .
962,3,రంగడు తన మూట చూశాడు .
963,3,లోపల రాళ్లు అగుపించాయి .
964,3,నగలు లేవు .
965,3,తన జేబులో చీటి గోపాలంకు ఇచ్చాడు .
966,3,గోపాలం చదివాడు .
967,any,దొంగల భయం అనే రాసి .
968,3,రంగడు చేసేది తన ఊరు చేరాడు .
969,3,గోపాలం తన మూటను రమ తాతకు అందించాడు .
970,3,గోపాలం పందెం గెలిచాడు .
971,3,తన చదువే గోపాలంను కాపాడింది .
972,3,రాములు ఒప్పుకున్నాడు .
973,3,గోపాలంతో రమ పెళ్లి చేశాడు .
974,,ఆ ఊరు శివపురం NULL .
975,,కొడుకు గోపాలం NULL .
976,,గోపాలం పనీపాట లేకుండా తిరిగేవాడు .
977,2,ఏదయినా పని చూసుకో .
978,2,మేం పోతే ఎలా బతుకుతావు .
979,,అని మందలించారు .
980,3,గోపాలం అలిగాడు .
981,3,రోషం వచ్చింది .
982,3,పని బాగా తిరిగాడు .
983,3,సోములు సంతోషించాడు .
984,,"రమ , సీతాలు యాదగిరి కూతురు NULL ."
985,,యాదగిరిది పొరుగూరు NULL .
986,3,బాగా సంపాదించాడు .
987,any,రమను గోపాలంను తమతో తీసుకుపోవాలని .
988,3,అదే అడిగాడు .
989,3,రమకు సంతోషం అయింది .
990,3,సోములుకు అలివేలుకు కొడుకు కోడలు తమతో ఉండాలని ఉంది .
991,3,అందుకే గోపాలం మేం సొంత ఊరు వదలం అన్నాడు .
992,3,రమకు బాధగా ఉంది .
993,any,అయినా ఏమీ అనలేదు .
994,3,చేసేది యాదగిరి సీతాలు తమ ఊరు చేరారు .
995,3,రమను గోపాలంను యాదగిరి తీసుకుపోయాడు .
996,3,రెండు రోజులు గడిపారు .
997,3,రమకు హాయిగా ఉంది .
998,any,ఆ ఊరు రావాలని .
999,any,అదే గోపాలంతో అంది .
1000,any,గోపాలం వినలేదు .
1001,3,గోపాలం రమ తిరిగి తమ ఊరికి చేరారు .
1002,3,మూడు రోజుల అలాగే ఉంది .
1003,3,రానురానూ బాధ పెరిగింది .
1004,any,అయినా నయం కాలేదు .
1005,3,గోపాలంకు రోజు రోజుకు పెరిగింది .
1006,3,సోములుకు అలివేలుకు కంగారుగా ఉంది .
1007,any,రమకు ఎటూ తోచడం .
1008,3,గోపాలంకు బాధ అలాగే ఉంది .
1009,3,తిండి తినేవాడు .
1010,,తింటే అరిగేది .
1011,,సోములుకూ అలివేలుకూ అనుమానం NULL .
1012,3,గోపాలం అత్తా మామే చేశారు .
1013,,అని అనుమానం NULL .
1014,3,దీపావళికి గోపాలంను తీసుకుపోయారు .
1015,,ఆ నాటి ఇదే వరుస NULL .
1016,3,తీసుకుపోయి ఏదో చేశారు .
1017,3,వీడికి ఏదో తినిపించాడు .
1018,,గోపాలంను తమకు కాకుండా చేయాలి . అనే ఇలా చేశారు . అని సోములు అలివేలు అనుమానం NULL .
1019,3,రమ నాయనకు కబురు చేసింది .
1020,3,యాదగిరి గోపాలంను చూశాడు .
1021,3,నీరసంగా ఉన్నాడు .
1022,1,మా ఊరికి తీసుకుపోతాను .
1023,1,దవాఖానాలో చూపెడతాను .
1024,any,మంచి మందులు వాడాలి .
1025,3,అని సోములుతో అన్నాడు .
1026,3,సోములుకు అలివేలుకు కోపంగా ఉంది .
1027,,ఇదంతా యాదగిరి పనే NULL .
1028,any,మా కొడుకు మాకు కాకుండా చూడాలని .
1029,3,మీరే మందు తినిపించారు .
1030,3,అని బాధలో అన్నారు .
1031,any,దవాఖానాకు తీసుకుపోవాలి .
1032,3,విబూదికి నయం కాదు . అని యాదగిరి ఎంతో బతిమాలాడు .
1033,3,యాదగిరి బతిమాలాడు .
1034,3,మీ దవాఖానా అవసరం లేదు .
1035,1,మా ఊరి దాసుకు చూపెడతాను .
1036,,దాసు చేతివాటం మంచిది NULL .
1037,3,విబూది పెడతాడు .
1038,3,ఏదయినా సోకితే తొందరగా నయం అవుతుంది .
1039,3,మందు పెడితే వెంటనే తెలిసిపోతుంది .
1040,,మా దాసుకు అంత మహిమ ఉన్నది .
1041,3,అని సోములు అన్నాడు .
1042,3,సోములు దాసుకు అంతా తెలిపాడు .
1043,3,వాడు రమను గోపాలంను పిలిచాడు .
1044,3,ముగ్గు వేశాడు .
1045,3,ఏదేదో అన్నాడు .
1046,3,కూచోబెట్టాడు .
1047,3,ఇట్లా రోజంతా చేశాడు .
1048,3,వాటిని మూట కట్టాడు ముగ్గులో ఉంచాడు .
1049,3,ఇంకా చదువుతున్నాడు .
1050,,గోపాలం బాగా నీరసపడి .
1051,3,అందుకే తూలుతున్నారు .
1052,3,పదకొండు దాటింది వాడు ఇక అయిపోయింది .
1053,1,నేను పోతున్నాను .
1054,any,ఈ మూటను మూడు రోజులు కదిలించకూడదు .
1055,,విబూది ఉన్నది .
1056,any,నాలుగవ రోజు అది తినాలి .
1057,3,తగ్గిపోతుంది . అని వెళ్లిపోయాడు .
1058,any,గోపాలంకు నీరసం తగ్గలేదు .
1059,3,రోజు రోజుకు పెరిగింది .
1060,3,మూడు రోజులు అయింది .
1061,3,నాలుగవ రోజు మూట తీశారు .
1062,,కానీ రమ నగలు కనిపించలేదు .
1063,3,అందరూ లబోదిబోమన్నారు .
1064,3,సోములు దాసు పోయాడు .
1065,3,ఉరంతా చూశాడు .
1066,any,దాసు కనిపించలేదు .
1067,3,ఇల్లు ఖాళీ చేశాడు . అని చెప్పారు .
1068,any,సోములుకు నోట మాట రాలేదు .
1069,3,అటు నగలు పోయాయి .
1070,any,ఇటు గోపాలంకు తగ్గలేదు .
1071,3,దాసు మోసం తెలిసింది .
1072,3,సోములు అనుమానం తీరింది .
1073,3,రమకు భయం భయంగా ఉంది .
1074,3,నాయనను పిలిపించింది .
1075,3,యాదగిరి సోములును సముదాయించాడు .
1076,3,చివరకు ఒప్పించాడు .
1077,3,గోపాలంను దవాఖానాలో చూపెట్టారు .
1078,3,రోగం ముదిరింది .
1079,3,ఇంతదాకా ఏమి చేశారు .
1080,any,శరీరంలో బలం లేకుండా .
1081,3,మీ నమ్మకాలతో కోలుకోకుండా . అని దవాఖానాలో తిట్టారు .
1082,3,సోములు ఎంతో బతిమాలాడు .
1083,,దవాఖానాలో సరయిన మందులు వాడారు .
1084,3,కొన్ని రోజులకు నయం అయింది .
1085,,దీంతో సోములుకు మోసం తెలిసివచ్చింది
1086,,నా పేరు వెంకటేశు NULL .
1087,,మా ఊరు పతంగి NULL .
1088,3,పతంగిలో నాకు ఒక దుకాణం ఉంది .
1089,,రాజలింగుది మా ఊరే NULL .
1090,,మేం ఎదురెదురుగా ఉంటాం .
1091,3,రాజలింగుకు దుకాణం ఉంది .
1092,,నేనంటే అసూయ NULL .
1093,,నాతో పోటీపడేవాడు .
1094,,నాకంటే బాగా సంపాదించాలని ఆశ NULL .
1095,,పనిలేనివారిని చేరదీసేవాడు .
1096,any,సరుకులు కొనడానికి తెలివి కావాలి .
1097,any,అమ్మడానికి తెలివి కావాలి .
1098,1,దురాశ పనికి రాదు . అని నేను రాజలింగుతో అన్నాను .
1099,,అయినా రాజలింగు నా మాట వినలేదు .
1100,1,ఒకసారి నేను మిరపకాయలు కొన్నాను .
1101,1,పంట కాలంలో కొన్నాను .
1102,1,పది సంచులు కొన్నాను .
1103,1,బాగా ఎండిన తరవాత దాచాను .
1104,1,ఏడాది గదిలో ఉంచాను .
1105,any,మరుసటి ఏడు పంటలు పండలేదు .
1106,any,మిరప పంట సరిగా రాలేదు .
1107,3,అనుకోకుండా మిరపకాయల ధర పెరిగింది .
1108,3,బాగా పెరిగింది .
1109,3,నేను కొన్నదానికి మూడింతలు పెరిగింది .
1110,1,నా పదిసంచులు అమ్మాను .
1111,1,మంచి లాభం గడించాను .
1112,3,ఇది నోట ఈ నోట పాకింది .
1113,3,రాజలింగుకు తెలిసింది .
1114,any,తెలివిగా సంపాదించాలి .
1115,any,సరుకు కొని నిలవ ఉంచాలి .
1116,3,వంద ఉప్పు సంచులు ఖరీదు చేశాడు .
1117,3,ఇంటికి చేరవేశాడు .
1118,3,ఒక గదిలో సంచులు ఉంచాడు .
1119,3,తాళం వేశాడు .
1120,3,ఆరు నెలలు గడిచాయి .
1121,3,రాజలింగు ఒకసారి తాళం తీసిచూశాడు .
1122,3,సంచులు బాగా తడిసిపోయాయి .
1123,,సగం సంచులు పాడయినవి .
1124,3,సగం ఉప్పు కరిగిపోయింది .
1125,,ఆ ఏడు బాగా వానలు కురిశాయి .
1126,,అందుకే గదిలో తడి చేరింది .
1127,3,సంచులు తడిసిపోయాయి .
1128,3,రాజలింగు లబోదిబోమన్నాడు .
1129,3,చేసేది మిగిలింది అమ్మాడు .
1130,1,పది సంచుల పసుపుని ఆరు నెలలు ఉంచాను .
1131,3,నాలుగింతలు లాభం చేకూరింది .
1132,1,ఆ పైసలతో మా ఇంటామెకు నగలు చేయించాను .
1133,3,ఈ విషయం రాజలింగుకు తెలిసింది .
1134,3,రాజలింగుకు కంటిమీద కునుకు లేదు .
1135,,నగలు కావాలని ఇంటామె ఒకటే పోరు NULL .
1136,3,రాజలింగు ఈ సారి ఉల్లిపాయలు కొని దాచాడు .
1137,,ఒకటే మురుగు వాసన NULL .
1138,3,ఉల్లిపాయలు మురిగిపోయాయి .
1139,3,ఎండలకు ఉల్లిపాయలు పాడయిపోయాయి .
1140,3,చేసేది ఉల్లిపాయలు పారవేశాడు .
1141,,పేరుకు రెండు గేదెల పాడి కాని రోజుకు లీటరు పాలు రావు .
1142,,ఇప్పుడు ఒకటి పాడిది NULL .
1143,,ఒకటి చూడిది NULL .
1144,3,రాములు పాలు తానే పితుకుతాడు .
1145,3,గేదెలను మేపుతాడు .
1146,any,అయినా పాడి పెరగలేదు .
1147,3,రోజు ఉదయం ఎండుగడ్డి పెడతాడు .
1148,3,ఒకసారి కుడితి పెడతాడు .
1149,3,ఇంకోసారి పచ్చిమేత పెడతాడు .
1150,any,అయినా పాలు పెరగలేదు .
1151,any,రాములుకు ఏం తోచలేదు .
1152,3,ఎండుగడ్డి మంచి ఆహారం కాదు .
1153,,అది కడుపు నిండుతుంది . కానీ అందులో పోషకవిలువలు లేవు .
1154,,దానిలో పాల దిగుబడి గుణంలేదు .
1155,any,పాలు పెరగాలంటే - పాడి పశువుల మేత సరఐన మోతాదులో ఉండాలి .
1156,any,ఆ మేతలో అన్ని రకాల పోషకాలు ఉండాలి .
1157,,ఇదే ఫీడు NULL .
1158,any,దాణాలో దినుసులు బాగా ఉండాలి .
1159,any,దానిలో మొక్కజొన్న ఉండాలి .
1160,any,పప్పుల పొడి తవుడు ఉండాలి .
1161,any,గోధుమ తవుడు ఉండాలి .
1162,any,ఫీడు ఎలా తయారు చేయాలి - దాణాను కొలతలతో పెట్టాలి .
1163,any,అన్ని పశువులకు ఒకేలాగా ఉండకూడదు .
1164,any,పాడి గేదెలకు ఒక రకంగా ఉండాలి .
1165,any,చూడి గేదెలకు ఒక రకంగా ఉండాలి .
1166,any,ఆవులకు ఒక రకంగా ఉండాలి .
1167,any,ఎద్దులకు ఒకరకంగా ఉండాలి .
1168,any,రకరకాలుగా ఉండాలి .
1169,any,పశువు వయసును చూడాలి .
1170,any,బరువును చూడాలి .
1171,any,గడ్డిని ముక్కలుగా చేయాలి .
1172,any,పశువులకు పెట్టాలి .
1173,any,పాడి పశువులను కడగాలి .
1174,any,పదికిలో దాణాలో మూడుకిలోల మొక్కజొన్నలు ఉండాలి .
1175,any,రెండు కిలోల పల్లిచెక్క ఉండాలి .
1176,any,ఖనిజ లవణాలు ఒక కిలో ఉండాలి .
1177,any,ఉప్పు ఒక కిలో ఉండాలి .
1178,3,ఇలా పాలు పెరుగుతాయి .
1179,any,చూడి గేదెలకు ఫీడు ఎలా పెట్టాలి ?
1180,any,చూడి గేదెలకు ఫీడు పోవాలి .
1181,any,ముందు రెండింతలు పెట్టాలి .
1182,any,మూడు మాసాల ముందు రెండింతలు పెట్టాలి .
1183,any,మూడు రోజుల ముందు ఫీడు ఆపాలి .
1184,any,బాగా పచ్చిమేత పెట్టాలి .
1185,any,నూనె చెక్కలతో మేపకూడదు .
1186,3,తవుడు అసలు పనికిరాదు .
1187,any,దూడలకు మెత్తని మేత పెట్టాలి .
1188,any,దూడల బరువు తెలుసుకుంటూ .
1189,any,నెమ్మదిగా దాణాకు అలవాటు చేయాలి .
1190,any,ఎండుగడ్డికి అలవాటు చేయాలి .
1191,any,దాణాలో పోషక విలువలను ఎలా పెంచాలి ?
1192,3,కొందరు యూరియాను తీసుకుంటారు .
1193,3,లేకుంటే అమోనియాను తీసుకుంటారు .
1194,3,నీళ్లలో కలుపుతారు .
1195,3,ఇలా నీళ్లను చల్లుతారు .
1196,3,గడ్డి కుప్పలమీద బాగా చల్లుతారు .
1197,3,తరువాత ఆ గడ్డి కుప్పలను తీసుకుంటారు .
1198,3,పెద్ద తొట్టిలాంటి దానిలో పెడతారు .
1199,3,మీద బరువు పెడతారు .
1200,3,అణగ పెడతారు .
1201,3,ఇలా కొన్ని రోజులు ఉంచుతారు .
1202,3,ఇలా ప్రోటీను శాతం పెరుగుతుంది .
1203,,కాని గాలి చొరకుండా చూడాలి .
1204,3,అప్పుడే ప్రొటీను శాతం పెరుగుతుంది .
1205,3,లేకుంటే తగ్గిపోతుంది .
1206,3,కొత్తగా ఒక డబ్బాను తయారు చేశారు .
1207,3,చొప్పను ఇందులో ఉంచుతారు .
1208,3,అమోనియాను గ్యాసుగా లోపలికి పంపుతారు .
1209,3,ఇలా 14 రోజులు మూసి ఉంచుతారు .
1210,3,ఇలా గడ్డి పోషకవిలువలు పెరుగుతాయి .
1211,3,14 రోజులకు ప్రోటీను శాతం తగ్గుతుంది .
1212,any,ఇలా అమోనియాతో దాణా ప్రోటీను విలువ పెంచవచ్చు .
1213,any,మూడింతలు పెంచవచ్చు .
1214,any,ఈ దాణాను 6 నెలల నిలవ ఉంచవచ్చు .
1215,3,ఇందులో నత్రజని శాతం ఎక్కువ ఉంటుంది .
1216,3,బతుకుతెరువుకోసం పట్నం చేరారు .
1217,,పట్నం చేరేనాటికి సీతాలుకు ఇద్దరు పిల్లలు NULL .
1218,3,సీతాలుకు చిన్న వయస్సులో పెళ్లయింది .
1219,3,కానుపులకు తగ్గట్టు బలమైన తిండి లేదు .
1220,,రోజు మొదట పిల్లలకు తిండి పెట్టేది .
1221,3,మిగిలితే తాను తినేది .
1222,,లేకపోతే పస్తులు పడుకునేది .
1223,3,అందుకే అప్పుడే ముసలిదానిలా తయారయింది .
1224,3,నడుం వంగిపోయింది .
1225,,ఈ నడుమ సీతాలు ఎప్పుడూ నీరసంగా ఉంటున్నది .
1226,3,ఆకలి ఉండదు .
1227,3,ఏ పని చేయ చేతకాదు .
1228,,మొదట్లో కొంచెం దగ్గు వచ్చేది .
1229,3,ఎప్పుడూ ఖళ్లుఖళ్లుమని దగ్గుతూ ఉంటుంది .
1230,any,రాములుకు ఏం చెయ్యాలో తోచడం .
1231,3,డాక్టరు సీతాలును పరీక్ష చేశాడు .
1232,3,ఛాతీ ఫోటో తీయించి చూశాడు .
1233,3,ఉమ్మి పరీక్షకు పంపి చూశాడు .
1234,3,చివరకు సీతాలుకు క్షయ రోగం అని చెప్పాడు .
1235,any,రాములుకు ఏడుపు ఆగలేదు .
1236,3,డాక్టరు రాములును ఊరడించాడు .
1237,3,ఇప్పుడు ఆ భయం లేదు .
1238,3,రోగం నయమవుతుంది .
1239,any,సీతాలుకు జబ్బు ముదరలేదు .
1240,,కానీ చాలా రోజులు మందులు తీసుకోవాలి .
1241,,మందుల ఖరీదు ఎక్కువే NULL .
1242,3,అని డాక్టరుగారు చెప్పారు .
1243,3,మా సీతాలుకే ఈ జబ్బు ఎందుకు వచ్చింది .
1244,3,సీతాలు చాలా బలహీనంగా ఉంది .
1245,,బరువు చాలా తక్కువ NULL .
1246,3,ఆమె శరీరంలో రోగాన్ని తట్టుకునే శక్తి తగ్గిపోయింది .
1247,3,అందుకే ఈ జబ్బు ఆమెకి వచ్చింది .
1248,3,ఈ జబ్బు పెద్ధవాళ్లకే వస్తుందా ?
1249,,పిల్లలకు రావచ్చా ?
1250,3,పెద్దా చిన్నా లేదు .
1251,any,అందరికీ రావచ్చు .
1252,any,చంటిపిల్లలకు ఇది ఎక్కువ రావచ్చు .
1253,any,పిల్లలకు వెన్నెముకలో ఇది వస్తే గూని రావచ్చు .
1254,3,ఆరోగ్యంగా ఉన్న పిల్లలు ఈ జబ్బు రాకుండా తట్టుకోగలరు .
1255,any,తక్కువ బరువుతో పుట్టిన పిల్లలకు ఈ జబ్బు రావచ్చు .
1256,any,ఈ జబ్బు రాకుండా పిల్లలకు టీకాలు ఇప్పించాలి
1257,3,ఈ టీకాలు అన్ని ఆసుపత్రుల్లో దొరుకుతాయి .
1258,any,ఈ టీకాను పుట్టగానే ఇప్పించాలి .
1259,3,క్షయ ఒకరి మరొకరికి అంటుకుంటుందా ?
1260,3,ఈ పురుగులు కంటికి కనపడవు .
1261,3,క్షయ ఉన్నవాళ్లు దగ్గినపుడు ఇవి గాలిలో చేరతాయి .
1262,3,ఉమ్మి గాలిలో చేరతాయి .
1263,any,ఈ గాలిని పీల్చినవారికి క్షయ రావచ్చు .
1264,,డాక్టరు మందులు రాసిచ్చాడు .
1265,3,రాములు సీతాలును ఇంటికి తీసుకువచ్చాడు .
1266,3,కోడలు అత్తను ఏపని చేయనీయలేదు .
1267,any,సీతాలుకు తీరిక దొరికేటట్టు .
1268,3,అవిసెల నూనె తీస్తారు .
1269,3,కాని అవిసె నూనె వంటకు పనికిరాదు .
1270,,ఈ నూనెను ఎక్కువగా పరిశ్రమలలో వాడతారు .
1271,,వార్నీస్లు మరియు ఇతర రంగుల తయారీలో ఎక్కువగా వాడుతున్నారు .
1272,3,నూనె తీసిన మిగిలే పొట్టు ఎరువుగా ఉపయోగపడుతుంది .
1273,3,ఈ పంటను మన రాష్ట్రంలో ఎక్కువగా పండించడం ఎంతైనా అవసరం ఉంది .
1274,,పంటకాలం - నేలలు అవిసె పంట ముఖ్యంగా రబీ పంట .
1275,,దీని పంటకాలం సుమారు 4 నెలలు .
1276,3,అక్టోబరు రెండవ వారంలో నాటితే ఫిబ్రవరి రెండవ వారంలో కోతకు వస్తుంది .
1277,any,ఈ పంటను అన్నిరకాల నేలల్లోను పండించవచ్చు .
1278,3,ఎక్కువ నీళ్లు నిలిచి నేలలు ఈ పంటకు పనికిరావు .
1279,any,ఈ విత్తనాలు ఒక హెక్టారుకు 30 కిలోగ్రాములు కావాలి .
1280,3,దీనివల్ల గింజలు బాగా మొలకెత్తుతాయి .
1281,any,రోగాల బారినుండి కాపాడుకోవచ్చు .
1282,any,ఒక కిలోగ్రాము అవిసె విత్తనాలకు ఒకటిన్నర గ్రాముల బావిస్టన్ మందు కలపాలి .
1283,,లేకుంటే 3 గ్రాముల థైరామ్ _ మందు కలపాలి .
1284,any,దీని విత్తనాల వచ్చే రోగాలను అరికట్టివచ్చు .
1285,any,విత్తనాలు వేసే పద్ధతి అవిసె పంట వేసే ముందు నేలను 2 లేక 3 సార్లు దున్నాలి .
1286,any,మొక్కలు ఎదగాలంటే జానెడు లోతు దున్నాలి .
