 depth,sentences
3,మామ్_చూ నీళ్లు నింపి ఇచ్చేవాడు .
4,గేదే పాలు తీసి పట్టుకుపోయేవాడు .
3,"మామ్_చూ అన్నాడు - "" నీవు రావని ,"
2,అప్పుడు ఏమి చేస్తావు ?
2,నన్ను పెళ్లి చేసుకో .
3,నా కొడుకు ఉన్నాడు .
2,ఇద్దరికీ సంపాదించి పెడతాడు .
3,నీకు పిల్లలు పుడితే బావుంటుంది .
3,"లేకపోతే ఏమి చేస్తావు ? "" అన్నాడు ."
3,నేను ఏడవటం మొదలుపెట్టాను .
2,అతను వస్తాడు .
3,అప్పుడే నా ఇల్లు అవుతుంది .
3,తులసీ రాములూ ఆలుమగలు NULL .
2,వాళ్లది సిరిపురం NULL .
3,ఇద్దరు కూతుళ్లు NULL .
2,పెద్ద కూతురికి పెళ్లి చేశారు .
3,"తులసి , రాములు కూలికి పోతారు ."
3,పని చేయందే పూట గడవదు .
2,పది రోజుల తులసికి బాగాలేదు .
2,నిద్ర సరిగా లేదు .
2,పొద్దున్నే లేవలేదు .
2,కాసేపు పనిచేస్తుంది .
3,కళ్లు తిరిగినట్టు అవుతుంది .
2,అలసటగా ఉంటుంది .
2,మాటిమాటికి చిరాకు పడుతుంది .
2,ఆరోజు తులసి లేవలేదు .
2,వంట మొదలు పెట్టలేదు .
2,రాములుకు తొందర NULL .
2,రాములు విసురుగా వెళ్లిపోయాడు .
2,తులసికి బాధగానే ఉంది .
2,అయినా ఏమీ చేయలేదు .
2,తలనొప్పిగా ఉంది .
2,చెమటలు పోశాయి .
2,అలసటగా ఉంది .
2,కళ్లు బరువుగా ఉన్నాయి .
2,తులసి మెల్లగా లేచింది .
3,వంట చేద్దామని లేచింది .
2,తల తిరిగింది .
2,పడబోయి గుంజ పట్టుకుంది .
2,సీత చదువుకున్నది .
2,సీత తులసిని పట్టుకుంది .
4,ఏమీ అయింది అని తులసిని అడిగింది .
2,తులసి అంతా చెప్పింది .
3,పరవాలేదు అని సీత తులసిని లేపింది .
2,ఆస్పత్రికి తీసుకుని పోయింది .
2,అక్కడ చాలామంది ఉన్నారు .
2,డాక్టరు ఎదురు చూస్తున్నారు .
2,డాక్టరమ్మ వచ్చింది .
3,రోగులను చూడటం మొదలు పెట్టింది .
2,రెండు గంటలు గడిచాయి .
3,తులసి వంతు వచ్చింది .
3,డాక్టరమ్మ తులసి నాడి చూసింది .
2,కళ్లు చూసింది .
2,నాలిక చూసింది .
2,చేతికి మిషను కట్టింది .
2,అంకెలు చూసింది .
2,తులసి ఏమీ అనలేదు .
5,లేవలేక పడుకుంది నేనే తీసుకుని వచ్చాను . అని సీత అంది .
2,డాక్టరమ్మ సీతను మెచ్చుకుంది .
3,సాయంగా ఉన్నందుకు మెచ్చుకుంది .
1,భయపడకు
5,నేను చెప్పినది చెయ్యి . అని డాక్టరమ్మ తులసితో అంది .
3,మన శరీరంలో రక్తం ఉంటుంది .
2,శరీరమంతా రక్తనాళాలు ఉంటాయి .
2,రక్తనాళాల గోడల్లో కొవ్వు చేరుతుంది .
2,దాంతో రక్తనాళాలు ఇరుకవుతాయి .
3,అప్పుడు రక్తం పోవటానికి ఆటంకం అవుతుంది .
2,గోడలమీద బలం పడుతుంది .
2,దాంతో రక్తపోటు ఎక్కువ అవుతుంది .
2,దాన్నే బీపి అంటారు .
3,ఇది ఎక్కువ ఉన్నా కష్టమే NULL .
3,తక్కువ ఉన్నా కష్టమే NULL .
2,అన్నంలో ఆకు కూరలు తినాలి .
2,ఉప్పు తగ్గించాలి .
2,నిద్ర పోవాలి .
2,దిగులు పెట్టుకోకూడదు .
2,నూనె వాడకం తగ్గించాలి .
2,మనసు ప్రశాంతంగా ఉంచుకోవాలి .
2,ఈ గోలీలు వేసుకో .
4,రోజుకు ఒకటి చాలు . అని డాక్టరమ్మ చీటి రాసి .
2,ఆలోచిస్తూ గుడిసె చేరింది .
3,తులసిని పడుకోబెట్టి సీత వెళ్లింది .
3,తన ఇంటికొచ్చి కొంచెం అన్నం తెచ్చింది .
2,తులసికి తినిపించింది .
2,తులసి పడుకుంది .
2,సాయంకాలం రాములు వచ్చాడు .
2,సీత రాములుకు అన్నం పెట్టింది .
2,తులసిని ఆసుపత్రిలో చూపించాను .
2,డాక్టరమ్మ చీటి రాసి .
2,రాములు చీటీ చూశాడు .
3,మందుల షాపుకు పోయాడు .
2,గోలీలు తెచ్చాడు .
2,ఒకటి తులసికి ఇచ్చాడు .
2,తులసి వేసుకుంది .
2,పదిరోజులు గడిచాయి .
2,ఇప్పుడు తులసికి నయమయింది .
2,కుదుట పడింది .
2,లేచి వంట చేయగలుగుతున్నది .
2,పనీపాట చేసుకుంటుంది .
3,తెచ్చిన గోలీలు అయిపోయాయి .
2,తులసి తగ్గిందని గోలీలు మానేసింది .
2,వారం గడిచింది .
2,మళ్లీ దడ మొదలయింది .
2,తల నొప్పిగా ఉంటోంది .
2,తులసి పట్టించుకోలేదు .
3,అలాగే పని చేసుకుంటోంది పనికి పోతోంది .
2,కొన్ని రోజులు తులసి లేవలేక పోయింది .
3,మంచం దిగలేక పోయింది .
2,లేస్తే తూలి పడిపోతోంది .
2,రాములుకు ఎటూ తోచలేదు .
2,డాక్టరమ్మ పాత చీటి చూసింది .
3,తులసి చేతికి మిషను పెట్టింది .
2,చీటి చూసింది .
4,గోలీలు వేసుకుంటున్నావా అని అడిగింది .
3,తులసి లేదని అడ్డంగా తల ఊపింది .
3,ఎందుకు మానేశావు మానకూడదు .
4,చెప్పినదాకా మానకూడదు . అని డాక్టరమ్మ అంది .
4,ఇది ఆడవాళ్లకే వస్తుందా . అని రాములు అడిగాడు .
2,రక్తపోటు ఆడవాళ్లకే వస్తుందా ?
3,ఇది నలభై ఏళ్లుదాటాక వస్తుంది .
2,ఆడామగా అందరికీ రావచ్చు .
3,కానీ ఆడవాళ్లలో ఎక్కువ NULL .
2,ఆడవాళ్లకు నియమాలు ఎక్కువ NULL .
2,వాళ్లమీద ఒత్తిడి ఎక్కువ NULL .
3,అందుకే వాళ్లకు రక్తపోటు వస్తుంది .
2,రక్తపోటు ఎలా వస్తుంది .
3,అని రాములు అడిగాడు .
2,రక్తపోటు ఎలా వస్తుంది ?
2,మనకు గుండె ఉంటుంది .
2,ఇది శరీరంలో అన్ని భాగాలకూ రక్తం పంపుతుంది .
5,మనం బతికి ఉన్నంత కాలం ఇలా జరుగుతుంది .
3,వయసు పెరిగాక రక్తనాళాలలో అడ్డు కలుగుతుంది .
3,ఇది అక్కడ కొవ్వు చేరడం కలుగుతుంది .
2,అప్పుడప్పుడు మనం దేని బాగా ఆలోచిస్తాం .
2,రక్తపోటు పెరుగుతుంది .
2,సాధారణంగా ఉండవలసినంత .
3,ఇది ఎక్కువ ఉన్నా ప్రమాదం NULL .
3,తక్కువ ఉన్నా ప్రమాదం NULL .
2,మందులు వాడాలి .
1,మానేయకూడదు
2,రక్తపోటు ఎందుకు వస్తుంది .
3,మనసుమీద ఒత్తిడి పడితే వస్తుంది .
3,నిద్ర చాలకుంటే వస్తుంది .
3,ఉప్పు ఎక్కువ తింటే వస్తుంది .
3,బరువు ఎక్కువ పెరిగితే వస్తుంది .
3,చక్కెర జబ్బు ఉంటే వస్తుంది .
3,"తల్లికి , తండ్రికి రక్తపోటు ఉంటే వస్తుంది ."
3,సరైన శ్రద్ధ తీసుకోకుండా గుండె జబ్బు రావచ్చు .
2,మూత్రపిండాల జబ్బు రావచ్చు .
2,పక్షవాతం రావచ్చు .
2,మెదడులో రక్తనాళాలు చిట్లుతాయి .
2,చూపు మసకబారుతుంది .
3,రాములు తులసిని తీసుకుని ఇంటికి వచ్చాడు .
2,ఇప్పుడు రాములుకు విషయాలు తెలిశాయి .
2,తులసికి తెలిశాయి .
5,మందులు వాడితే రక్తపోటు అదుపులో ఉంటుంది . అని తెలుసుకున్నారు .
2,ఏడాదికి ఒకసారి రక్తపోటు పరీక్ష చేయించుకోవాలి .
3,40 ఏళ్లు దాటాక పరీక్షలు చేయించుకోవాలి .
3,శరీరం బరువు పెరగకుండా చూసుకోవాలి .
3,రక్తపోటు ఎక్కువ ఉన్నా ప్రమాదమే NULL .
3,తక్కువ ఉన్నా ప్రమాదమే NULL .
2,మందులు మానకూడదు .
2,తిండిలో జాగ్రత్తలు పాటించాలి .
2,కోటపాడు ఒక ఊరు NULL .
2,ఆ ఊళ్లో సూరిబాబు ఒక రైతు NULL .
2,పాడి పంట బాగా ఉంది .
3,పశువులు కోళ్లు చాలా ఉన్నాయి .
3,సూరిబాబు కూతురు శారద NULL .
2,పెళ్లి అయింది .
2,రోజూ బయట తిరగాలి .
2,గాలి తీసుకోవాలి .
4,ఒంటికి బలం అని డాక్టరు అంది .
2,అందుకే శారద గాలికి తిరుగుతున్నది .
3,అలా తిరగడంలో ఒక కోడిని చూసింది .
2,చాలా రోజులు అలాగే ఉంది .
3,ఆ కోడి లేవడం లేదు .
3,మేతకు పోవడం లేదు .
2,అలా గుడ్లు పగిలాయి .
2,పిల్లలు బయటకి వచ్చాయి .
2,వాటిని వదలి .
2,పశువుల పాకలో ఆవు చూడితో ఉంది .
2,ఆవు కడుపు పెరిగింది .
2,ఒక రోజు ఆవు ఈనింది .
3,దూడ కింద పడి లేచింది .
2,పొదుగు పాలు తాగింది .
2,ఆవు దూడను నాకుతోంది .
2,ఆమెకు సందేహం కలిగింది .
2,కోడి గుడ్డు పెడుతుంది .
2,గుడ్డులో పిల్ల NULL .
2,ఆవు కడుపులో దూడ NULL .
2,ఈ తేడా ఎందుకు NULL ?
3,నన్ను మా అమ్మ కన్నది .
3,నేను నా పిల్లను కనాలి .
4,"గుడ్డులో పిల్లకు , కడుపులో పిల్లకు తిండి ఎలా NULL ?"
2,ఈ సంగతులు తెలుసుకోవాలి .
2,ఆ రోజు డాక్టరు వచ్చింది .
2,శారద అడిగింది
2,డాక్టరు వివరాలు చెప్పింది .
4,నువ్వు తినే ఆహారం నీ కడుపులో బిడ్డకు అందుతుంది .
2,ఆ గుడ్డులో ఆహారం నిలవ ఉంటుంది .
3,అది చాలా బలమైంది NULL .
2,పిల్ల ఈ ఆహారం తీసుకుంటుంది .
2,తరవాత బయట పడుతుంది .
3,కడుపులోని ఆవు దూడకు ఆహారం తల్లి ఆవు అందుతుంది .
2,రక్తంతో ఇది అందుతుంది .
2,ఊపిరి ఇలాగే అందుతుంది .
3,దూడ ఎదిగాక బయట పడుతుంది .
2,మనం అలాగే కంటాం .
3,బిడ్డ తల్లి కడుపులో పెరుగుతుంది .
2,తొమ్మిది నెలలు కడుపులో ఉంటుంది .
3,నెలలు నిండేసరికి అవయవాలు ఎదుగుతాయి .
2,ఈ ఉమ్మనీరు పిండానికి దెబ్బ తగలనివ్వదు .
2,జాగ్రత్తగా పిండాన్ని కాపాడుతుంది .
5,తల్లిని పిండాన్ని కలిపేదే బొడ్డు తాడు NULL .
3,బొడ్డు తాడు లోపలి పిండానికి అన్నీ చేరుస్తుంది .
3,ఆహారం గాలి తల్లి బిడ్డకు చేరుస్తుంది .
3,మాయ బిడ్డ పుట్టినపుడు బయటకు వస్తుంది .
2,మూడు నెలలకు పిండం చూపుడు వేలంత ఉంటుంది .
2,బరువు 20 గ్రాములు ఉంటుంది .
2,అవయవాలు కొంచెం తయారవుతాయి .
4,ఎముకలగూడు కనబడుతుంది కండరాలు నాడులు కనబడతాయి .
2,రక్తనాళాలు కనబడతాయి .
3,కడుపులో బిడ్డ ఉందని ఇప్పుడు అనిపిస్తుంది .
2,తల్లి మంచి ఆహారం తినాలి .
2,పాలు తాగాలి .
2,బిడ్డ కడుపులో తిరుగుతూ .
2,అయిదో నెల వస్తుంది .
2,బరువు 300 గ్రాములు ఉంటుంది .
2,కాళ్లతో తంతూ .
2,చురుకుగా తిరుగుతూ .
2,ఏడో నెల వస్తుంది .
2,బిడ్డ ఇంకా పెరుగుతుంది .
2,కడుపులో తిరుగుతూ .
2,చాలా కాలం తల ముందు ఉంచుతుంది .
4,బిడ్డ ఉన్న సంచిని బిడ్డ సంచి అంటారు .
2,బిడ్డ సంచిలోనే ఉమ్మనీరు ఉంటుంది .
2,తొమ్మిది నెలలు నిండుతాయి .
3,బిడ్డ సంచి గోడలు కదులుతాయి .
2,పోను పోను గోడలు నొక్కుకుంటాయి .
2,తల్లికి పురుటి నొప్పులు మొదలవుతాయి .
2,ఇలా కొన్ని గంటలు ఉంటాయి .
3,బిడ్డ ఒత్తిడి చేయడంతో ఉమ్మసంచి చితికి .
2,తలుపులు తీసినట్టు .
2,నొప్పులు ఎక్కువ అవుతాయి .
2,బిడ్డ బయట పడుతుంది .
2,ముందు తల వస్తుంది .
2,డాక్టరమ్మ తలను అందుకుంటుంది .
2,నెమ్మదిగా తీస్తుంది .
4,వెంటనే బొడ్డు తాడు కోస్తుంది పొట్టమీద బొడ్డు మచ్చ మిగులుతుంది .
2,ఇపుడు బిడ్డకు గాలి కావాలి .
2,బిడ్డ మొదటిసారిగా ఊపిరి తీసుకుంటుంది .
2,అప్పుడప్పుడు బిడ్డకు ఊపిరి అందదు .
2,అప్పుడు డాక్టరు బిడ్డ తల కిందకు వేస్తుంది .
3,కాళ్లను పట్టుకొని వీపు తడుతుంది .
2,ఒక్కోసారి బిడ్డ తల ముందు రాదు .
3,చేతులు తొడలు ముందు వస్తాయి .
2,అప్పుడు ఆపరేషన్ చేయాలి .
3,అలా చేసి బిడ్డను బయటకు తీయాలి .
2,ఒక్కోసారి కవలలు పుడతారు .
3,ఒక గుడ్డు చీలితే ఆ కవలలు ఒకే ఉంటారు .
3,విడిగా పిండం అయితే వేరే పోలికలతో పుడతారు .
3,పురుడు తల్లికీ బిడ్డకూ గండమే ఇప్పుడు మంచి మందులు వచ్చాయి .
3,కనుక భయం లేదు .
3,తల్లికి పిల్లకు బాధ తప్పదు .
2,పుట్టగానే పాప ఏడుస్తుంది .
4,కారణం బయటకు రాగానే వేరే వాతావరణం NULL . కళ్లకు వెలుగు తగిలి ఏడుస్తుంది .
2,పురుడు గదిలో వెలుతురు తగ్గించాలి .
3,పుట్టగానే తల్లి పొట్టమీద ఉంచాలి .
2,నులి వేడినీళ్లతో కడగాలి .
2,మెత్తని తుండుతో తుడవాలి .
2,తల్లికి దగ్గరగా ఆనించాలి .
3,బిడ్డ ఇంతదాక తల్లి గుండె చప్పుడు వినింది .
2,తొమ్మిది నెలలు వినింది .
3,అందుకే దగ్గరగా ఉంచాలి .
2,మొదట తల్లికి ముర్రుపాలు వస్తాయి .
2,ఇవి బిడ్డను బలంగా ఉంచుతాయి .
3,రోగాలు రాకుండా కాపడతాయి .
2,రొమ్ము పట్టాలి .
2,శారద అంతా వింది .
2,చాలా సంగతులు తెలుసుకుంది .
2,రాములుది నాగాపురం NULL .
3,రాములు కూతురు రమ చదువుకుంది .
2,ఇరవై ఏళ్లు నిండాయి .
2,కూతురికి చేయాలి .
2,రాములు ఆలోచించాడు .
2,కొడుకుల వెతికాడు .
3,రాములు కంటికి రంగడు కనిపించాడు .
3,రంగడు రాఘవులు కొడుకు NULL .
2,బోలెడంత సంపాదించాడు .
2,పది ఎకరాల పొలం ఉంది .
2,రంగడు రమకు సరైన జోడి NULL .
4,తిండికి కొదువలేదు . అని రాములు ఆలోచన NULL .
3,మామ చేతిలో పెరిగాడు .
2,చదువు అబ్బింది .
3,రమకు గోపాలంనే చేసుకోవాలని NULL ఉంది .
2,విషయం నాయనతో అంది .
3,కాని సంపద ఉండాలి .
2,చదువు ఎందుకు NULL .
2,చదువు ఉండాలి .
2,చదువు తెలివిని పెంచుతుంది .
4,చదువుతో ఏదైనా జయించగలం . అని రమ నాయనతో అంది .
2,చదువు ఏరకంగా ఆదుకుంటుంది .
3,"రాములు గోపాలంను , రంగడిని పిలిపించాడు ."
2,నేను ఒక పందెం పెడతాను .
3,"గోపాలం , రంగడు సరే అని తల ఊపారు"
2,రమ చెరి ఒక మూట అందించింది .
2,ఇవి నగల మూటలు NULL .
3,మా తాత పొరుగూరిలో ఉంటాడు .
3,ఈ మూటలను మా తాతకు అందించాలి .
2,మూటలతోపాటు చెరి ఒక చీటీ ఇచ్చింది .
4,ఊరికి వెళ్లే దారిలో అడవి ఉంది .
2,తోవలో గుడి ఉంది .
4,చీకటివేళ గుళ్లో గడపండి . అని రమ అంది .
3,"గోపాలం , రంగడు మూటలతో బయలుదేరారు ."
3,గోపాలంకు పందెం గెలవాలని ఉంది .
2,రంగడికీ పందెం గెలవాలని .
2,రమను చేసుకోవాలని .
2,నడక సాగించారు .
2,పగలంతా నడిచారు .
2,చీకటి పడింది .
2,దారిలో గుడి కనపడింది .
3,చీటిలో ఏమీ ఉందో చూడాలని .
2,పడుకునేముందు రంగడు చీటి తీసాడు .
4,ఏం రాసి ఉందో గోపాలంను అడగాలని .
4,కాని తనకు చదువు రాదని తెలిసిపోతుంది .
2,అందుకే అడగలేదు .
2,చీటీ ని జేబులోనే ఉంచాడు .
3,తలకింద మూట ఉంచుకుని నిద్రపోయాడు .
2,కొంతసేపటికి గోపాలం చీటి తీశాడు .
4,గుళ్లో దొంగల భయం అని రాసి .
2,గోపాలం నిద్రపోలేదు .
2,గుడి పూజారి ఇంటికి పోయాడు .
3,మూటను దాచి అడిగాడు .
2,పూజారి మూటను లోపల దాచాడు .
2,తరవాత గోపాలం గుడికి చేరాడు .
2,బాగా చీకటి పడింది .
2,దొంగలు వచ్చారు .
2,రంగడి తలకింది మూట తీశారు .
3,నగలు తీసుకుని పారిపోయారు .
2,పోతూపోతూ రాళ్ళు పోగుచేశారు .
3,రంగడి మూటలో ఉంచారు .
3,ఇదంతా జరిగినా రంగడు లేవలేదు .
2,బాగా అలసిపోయాడు .
3,దొంగలు గోపాలం మూటకోసం చూశారు .
3,కాని మూట కనిపించలేదు .
3,దొంగలు రంగడి నగలతో పారిపోయారు .
3,"గోపాలం , రంగడు లేచారు ."
2,గోపాలం పూజారిని కలిశాడు .
3,మూట తీసుకొని గుడికి చేరాడు .
5,తన చీటీలో దొంగల భయం అని రాసి .
3,రంగడు తన మూట చూశాడు .
2,లోపల రాళ్లు అగుపించాయి .
2,నగలు లేవు .
2,తన జేబులో చీటి గోపాలంకు ఇచ్చాడు .
2,గోపాలం చదివాడు .
4,దొంగల భయం అనే రాసి .
2,రంగడు చేసేది తన ఊరు చేరాడు .
3,గోపాలం తన మూటను రమ తాతకు అందించాడు .
2,గోపాలం పందెం గెలిచాడు .
3,తన చదువే గోపాలంను కాపాడింది .
2,రాములు ఒప్పుకున్నాడు .
3,గోపాలంతో రమ పెళ్లి చేశాడు .
2,ఆ ఊరు శివపురం NULL .
2,కొడుకు గోపాలం NULL .
3,గోపాలం పనీపాట లేకుండా తిరిగేవాడు .
2,ఏదయినా పని చూసుకో .
3,మేం పోతే ఎలా బతుకుతావు .
2,అని మందలించారు .
2,గోపాలం అలిగాడు .
2,రోషం వచ్చింది .
2,పని బాగా తిరిగాడు .
2,సోములు సంతోషించాడు .
3,"రమ , సీతాలు యాదగిరి కూతురు NULL ."
2,యాదగిరిది పొరుగూరు NULL .
2,బాగా సంపాదించాడు .
3,రమను గోపాలంను తమతో తీసుకుపోవాలని .
2,అదే అడిగాడు .
2,రమకు సంతోషం అయింది .
4,సోములుకు అలివేలుకు కొడుకు కోడలు తమతో ఉండాలని ఉంది .
3,అందుకే గోపాలం మేం సొంత ఊరు వదలం అన్నాడు .
2,రమకు బాధగా ఉంది .
2,అయినా ఏమీ అనలేదు .
3,చేసేది యాదగిరి సీతాలు తమ ఊరు చేరారు .
3,రమను గోపాలంను యాదగిరి తీసుకుపోయాడు .
2,రెండు రోజులు గడిపారు .
2,రమకు హాయిగా ఉంది .
2,ఆ ఊరు రావాలని .
2,అదే గోపాలంతో అంది .
2,గోపాలం వినలేదు .
3,గోపాలం రమ తిరిగి తమ ఊరికి చేరారు .
2,మూడు రోజుల అలాగే ఉంది .
2,రానురానూ బాధ పెరిగింది .
2,అయినా నయం కాలేదు .
2,గోపాలంకు రోజు రోజుకు పెరిగింది .
3,సోములుకు అలివేలుకు కంగారుగా ఉంది .
2,రమకు ఎటూ తోచడం .
2,గోపాలంకు బాధ అలాగే ఉంది .
2,తిండి తినేవాడు .
2,తింటే అరిగేది .
3,సోములుకూ అలివేలుకూ అనుమానం NULL .
3,గోపాలం అత్తా మామే చేశారు .
2,అని అనుమానం NULL .
2,దీపావళికి గోపాలంను తీసుకుపోయారు .
2,ఆ నాటి ఇదే వరుస NULL .
2,తీసుకుపోయి ఏదో చేశారు .
2,వీడికి ఏదో తినిపించాడు .
7,గోపాలంను తమకు కాకుండా చేయాలి . అనే ఇలా చేశారు . అని సోములు అలివేలు అనుమానం NULL .
2,రమ నాయనకు కబురు చేసింది .
2,యాదగిరి గోపాలంను చూశాడు .
2,నీరసంగా ఉన్నాడు .
3,మా ఊరికి తీసుకుపోతాను .
2,దవాఖానాలో చూపెడతాను .
2,మంచి మందులు వాడాలి .
2,అని సోములుతో అన్నాడు .
3,సోములుకు అలివేలుకు కోపంగా ఉంది .
3,ఇదంతా యాదగిరి పనే NULL .
3,మా కొడుకు మాకు కాకుండా చూడాలని .
2,మీరే మందు తినిపించారు .
2,అని బాధలో అన్నారు .
2,దవాఖానాకు తీసుకుపోవాలి .
4,విబూదికి నయం కాదు . అని యాదగిరి ఎంతో బతిమాలాడు .
2,యాదగిరి బతిమాలాడు .
3,మీ దవాఖానా అవసరం లేదు .
4,మా ఊరి దాసుకు చూపెడతాను .
3,దాసు చేతివాటం మంచిది NULL .
2,విబూది పెడతాడు .
3,ఏదయినా సోకితే తొందరగా నయం అవుతుంది .
3,మందు పెడితే వెంటనే తెలిసిపోతుంది .
3,మా దాసుకు అంత మహిమ ఉన్నది .
2,అని సోములు అన్నాడు .
2,సోములు దాసుకు అంతా తెలిపాడు .
3,వాడు రమను గోపాలంను పిలిచాడు .
2,ముగ్గు వేశాడు .
2,ఏదేదో అన్నాడు .
1,కూచోబెట్టాడు .
2,ఇట్లా రోజంతా చేశాడు .
3,వాటిని మూట కట్టాడు ముగ్గులో ఉంచాడు .
2,ఇంకా చదువుతున్నాడు .
2,గోపాలం బాగా నీరసపడి .
2,అందుకే తూలుతున్నారు .
3,పదకొండు దాటింది వాడు ఇక అయిపోయింది .
2,నేను పోతున్నాను .
2,ఈ మూటను మూడు రోజులు కదిలించకూడదు .
2,విబూది ఉన్నది .
2,నాలుగవ రోజు అది తినాలి .
3,తగ్గిపోతుంది . అని వెళ్లిపోయాడు .
2,గోపాలంకు నీరసం తగ్గలేదు .
2,రోజు రోజుకు పెరిగింది .
2,మూడు రోజులు అయింది .
2,నాలుగవ రోజు మూట తీశారు .
4,కానీ రమ నగలు కనిపించలేదు .
2,అందరూ లబోదిబోమన్నారు .
2,సోములు దాసు పోయాడు .
2,ఉరంతా చూశాడు .
2,దాసు కనిపించలేదు .
4,ఇల్లు ఖాళీ చేశాడు . అని చెప్పారు .
2,సోములుకు నోట మాట రాలేదు .
2,అటు నగలు పోయాయి .
2,ఇటు గోపాలంకు తగ్గలేదు .
3,దాసు మోసం తెలిసింది .
3,సోములు అనుమానం తీరింది .
2,రమకు భయం భయంగా ఉంది .
2,నాయనను పిలిపించింది .
2,యాదగిరి సోములును సముదాయించాడు .
2,చివరకు ఒప్పించాడు .
2,గోపాలంను దవాఖానాలో చూపెట్టారు .
2,రోగం ముదిరింది .
2,ఇంతదాకా ఏమి చేశారు .
2,శరీరంలో బలం లేకుండా .
4,మీ నమ్మకాలతో కోలుకోకుండా . అని దవాఖానాలో తిట్టారు .
2,సోములు ఎంతో బతిమాలాడు .
2,దవాఖానాలో సరయిన మందులు వాడారు .
2,కొన్ని రోజులకు నయం అయింది .
3,దీంతో సోములుకు మోసం తెలిసివచ్చింది
3,నా పేరు వెంకటేశు NULL .
3,మా ఊరు పతంగి NULL .
2,పతంగిలో నాకు ఒక దుకాణం ఉంది .
3,రాజలింగుది మా ఊరే NULL .
2,మేం ఎదురెదురుగా ఉంటాం .
2,రాజలింగుకు దుకాణం ఉంది .
2,నేనంటే అసూయ NULL .
2,నాతో పోటీపడేవాడు .
4,నాకంటే బాగా సంపాదించాలని ఆశ NULL .
2,పనిలేనివారిని చేరదీసేవాడు .
3,సరుకులు కొనడానికి తెలివి కావాలి .
2,అమ్మడానికి తెలివి కావాలి .
4,దురాశ పనికి రాదు . అని నేను రాజలింగుతో అన్నాను .
3,అయినా రాజలింగు నా మాట వినలేదు .
2,ఒకసారి నేను మిరపకాయలు కొన్నాను .
2,పంట కాలంలో కొన్నాను .
2,పది సంచులు కొన్నాను .
3,బాగా ఎండిన తరవాత దాచాను .
2,ఏడాది గదిలో ఉంచాను .
2,మరుసటి ఏడు పంటలు పండలేదు .
2,మిరప పంట సరిగా రాలేదు .
2,అనుకోకుండా మిరపకాయల ధర పెరిగింది .
2,బాగా పెరిగింది .
3,నేను కొన్నదానికి మూడింతలు పెరిగింది .
3,నా పదిసంచులు అమ్మాను .
2,మంచి లాభం గడించాను .
2,ఇది నోట ఈ నోట పాకింది .
2,రాజలింగుకు తెలిసింది .
2,తెలివిగా సంపాదించాలి .
3,సరుకు కొని నిలవ ఉంచాలి .
2,వంద ఉప్పు సంచులు ఖరీదు చేశాడు .
2,ఇంటికి చేరవేశాడు .
2,ఒక గదిలో సంచులు ఉంచాడు .
2,తాళం వేశాడు .
2,ఆరు నెలలు గడిచాయి .
2,రాజలింగు ఒకసారి తాళం తీసిచూశాడు .
2,సంచులు బాగా తడిసిపోయాయి .
2,సగం సంచులు పాడయినవి .
2,సగం ఉప్పు కరిగిపోయింది .
2,ఆ ఏడు బాగా వానలు కురిశాయి .
3,అందుకే గదిలో తడి చేరింది .
2,సంచులు తడిసిపోయాయి .
2,రాజలింగు లబోదిబోమన్నాడు .
2,చేసేది మిగిలింది అమ్మాడు .
3,పది సంచుల పసుపుని ఆరు నెలలు ఉంచాను .
2,నాలుగింతలు లాభం చేకూరింది .
2,ఆ పైసలతో మా ఇంటామెకు నగలు చేయించాను .
2,ఈ విషయం రాజలింగుకు తెలిసింది .
2,రాజలింగుకు కంటిమీద కునుకు లేదు .
3,నగలు కావాలని ఇంటామె ఒకటే పోరు NULL .
3,రాజలింగు ఈ సారి ఉల్లిపాయలు కొని దాచాడు .
3,ఒకటే మురుగు వాసన NULL .
2,ఉల్లిపాయలు మురిగిపోయాయి .
2,ఎండలకు ఉల్లిపాయలు పాడయిపోయాయి .
2,చేసేది ఉల్లిపాయలు పారవేశాడు .
4,పేరుకు రెండు గేదెల పాడి కాని రోజుకు లీటరు పాలు రావు .
2,ఇప్పుడు ఒకటి పాడిది NULL .
2,ఒకటి చూడిది NULL .
3,రాములు పాలు తానే పితుకుతాడు .
2,గేదెలను మేపుతాడు .
2,అయినా పాడి పెరగలేదు .
3,రోజు ఉదయం ఎండుగడ్డి పెడతాడు .
2,ఒకసారి కుడితి పెడతాడు .
2,ఇంకోసారి పచ్చిమేత పెడతాడు .
2,అయినా పాలు పెరగలేదు .
2,రాములుకు ఏం తోచలేదు .
3,ఎండుగడ్డి మంచి ఆహారం కాదు .
3,అది కడుపు నిండుతుంది . కానీ అందులో పోషకవిలువలు లేవు .
3,దానిలో పాల దిగుబడి గుణంలేదు .
4,పాలు పెరగాలంటే - పాడి పశువుల మేత సరఐన మోతాదులో ఉండాలి .
3,ఆ మేతలో అన్ని రకాల పోషకాలు ఉండాలి .
2,ఇదే ఫీడు NULL .
2,దాణాలో దినుసులు బాగా ఉండాలి .
2,దానిలో మొక్కజొన్న ఉండాలి .
4,పప్పుల పొడి తవుడు ఉండాలి .
3,గోధుమ తవుడు ఉండాలి .
3,ఫీడు ఎలా తయారు చేయాలి - దాణాను కొలతలతో పెట్టాలి .
