,gender,sentences
912,any,చదువుతో ఏదైనా జయించగలం . అని రమ నాయనతో అంది .
913,f,చదువు ఏరకంగా ఆదుకుంటుంది .
914,m,"రాములు గోపాలంను , రంగడిని పిలిపించాడు ."
915,,నేను ఒక పందెం పెడతాను .
916,,"గోపాలం , రంగడు సరే అని తల ఊపారు"
917,f,రమ చెరి ఒక మూట అందించింది .
918,,ఇవి నగల మూటలు NULL .
919,m,మా తాత పొరుగూరిలో ఉంటాడు .
920,any,ఈ మూటలను మా తాతకు అందించాలి .
921,f,మూటలతోపాటు చెరి ఒక చీటీ ఇచ్చింది .
922,f,ఊరికి వెళ్లే దారిలో అడవి ఉంది .
923,f,తోవలో గుడి ఉంది .
924,any,చీకటివేళ గుళ్లో గడపండి . అని రమ అంది .
925,,"గోపాలం , రంగడు మూటలతో బయలుదేరారు ."
926,f,గోపాలంకు పందెం గెలవాలని ఉంది .
927,any,రంగడికీ పందెం గెలవాలని .
928,any,రమను చేసుకోవాలని .
929,,నడక సాగించారు .
930,,పగలంతా నడిచారు .
931,f,చీకటి పడింది .
932,f,దారిలో గుడి కనపడింది .
933,any,చీటిలో ఏమీ ఉందో చూడాలని .
934,m,పడుకునేముందు రంగడు చీటి తీసాడు .
935,any,ఏం రాసి ఉందో గోపాలంను అడగాలని .
936,,కాని తనకు చదువు రాదని తెలిసిపోతుంది .
937,,అందుకే అడగలేదు .
938,m,చీటీ ని జేబులోనే ఉంచాడు .
939,m,తలకింద మూట ఉంచుకుని నిద్రపోయాడు .
940,m,కొంతసేపటికి గోపాలం చీటి తీశాడు .
941,any,గుళ్లో దొంగల భయం అని రాసి .
942,any,గోపాలం నిద్రపోలేదు .
943,m,గుడి పూజారి ఇంటికి పోయాడు .
944,m,మూటను దాచి అడిగాడు .
945,m,పూజారి మూటను లోపల దాచాడు .
946,m,తరవాత గోపాలం గుడికి చేరాడు .
947,f,బాగా చీకటి పడింది .
948,,దొంగలు వచ్చారు .
949,,రంగడి తలకింది మూట తీశారు .
950,,నగలు తీసుకుని పారిపోయారు .
951,,పోతూపోతూ రాళ్ళు పోగుచేశారు .
952,,రంగడి మూటలో ఉంచారు .
953,any,ఇదంతా జరిగినా రంగడు లేవలేదు .
954,m,బాగా అలసిపోయాడు .
955,,దొంగలు గోపాలం మూటకోసం చూశారు .
956,,కాని మూట కనిపించలేదు .
957,,దొంగలు రంగడి నగలతో పారిపోయారు .
958,,"గోపాలం , రంగడు లేచారు ."
959,m,గోపాలం పూజారిని కలిశాడు .
960,m,మూట తీసుకొని గుడికి చేరాడు .
961,any,తన చీటీలో దొంగల భయం అని రాసి .
962,m,రంగడు తన మూట చూశాడు .
963,n,లోపల రాళ్లు అగుపించాయి .
964,n,నగలు లేవు .
965,m,తన జేబులో చీటి గోపాలంకు ఇచ్చాడు .
966,m,గోపాలం చదివాడు .
967,any,దొంగల భయం అనే రాసి .
968,m,రంగడు చేసేది తన ఊరు చేరాడు .
969,m,గోపాలం తన మూటను రమ తాతకు అందించాడు .
970,m,గోపాలం పందెం గెలిచాడు .
971,f,తన చదువే గోపాలంను కాపాడింది .
972,m,రాములు ఒప్పుకున్నాడు .
973,m,గోపాలంతో రమ పెళ్లి చేశాడు .
974,,ఆ ఊరు శివపురం NULL .
975,,కొడుకు గోపాలం NULL .
976,,గోపాలం పనీపాట లేకుండా తిరిగేవాడు .
977,,ఏదయినా పని చూసుకో .
978,,మేం పోతే ఎలా బతుకుతావు .
979,,అని మందలించారు .
980,m,గోపాలం అలిగాడు .
981,f,రోషం వచ్చింది .
982,m,పని బాగా తిరిగాడు .
983,m,సోములు సంతోషించాడు .
984,,"రమ , సీతాలు యాదగిరి కూతురు NULL ."
985,,యాదగిరిది పొరుగూరు NULL .
986,m,బాగా సంపాదించాడు .
987,any,రమను గోపాలంను తమతో తీసుకుపోవాలని .
988,m,అదే అడిగాడు .
989,f,రమకు సంతోషం అయింది .
990,f,సోములుకు అలివేలుకు కొడుకు కోడలు తమతో ఉండాలని ఉంది .
991,m,అందుకే గోపాలం మేం సొంత ఊరు వదలం అన్నాడు .
992,f,రమకు బాధగా ఉంది .
993,any,అయినా ఏమీ అనలేదు .
994,,చేసేది యాదగిరి సీతాలు తమ ఊరు చేరారు .
995,m,రమను గోపాలంను యాదగిరి తీసుకుపోయాడు .
996,,రెండు రోజులు గడిపారు .
997,f,రమకు హాయిగా ఉంది .
998,any,ఆ ఊరు రావాలని .
999,any,అదే గోపాలంతో అంది .
1000,any,గోపాలం వినలేదు .
1001,,గోపాలం రమ తిరిగి తమ ఊరికి చేరారు .
1002,f,మూడు రోజుల అలాగే ఉంది .
1003,f,రానురానూ బాధ పెరిగింది .
1004,any,అయినా నయం కాలేదు .
1005,f,గోపాలంకు రోజు రోజుకు పెరిగింది .
1006,f,సోములుకు అలివేలుకు కంగారుగా ఉంది .
1007,any,రమకు ఎటూ తోచడం .
1008,f,గోపాలంకు బాధ అలాగే ఉంది .
1009,f,తిండి తినేవాడు .
1010,,తింటే అరిగేది .
1011,,సోములుకూ అలివేలుకూ అనుమానం NULL .
1012,,గోపాలం అత్తా మామే చేశారు .
1013,,అని అనుమానం NULL .
1014,,దీపావళికి గోపాలంను తీసుకుపోయారు .
1015,,ఆ నాటి ఇదే వరుస NULL .
1016,,తీసుకుపోయి ఏదో చేశారు .
1017,m,వీడికి ఏదో తినిపించాడు .
1018,,గోపాలంను తమకు కాకుండా చేయాలి . అనే ఇలా చేశారు . అని సోములు అలివేలు అనుమానం NULL .
1019,f,రమ నాయనకు కబురు చేసింది .
1020,m,యాదగిరి గోపాలంను చూశాడు .
1021,m,నీరసంగా ఉన్నాడు .
1022,,మా ఊరికి తీసుకుపోతాను .
1023,,దవాఖానాలో చూపెడతాను .
1024,any,మంచి మందులు వాడాలి .
1025,m,అని సోములుతో అన్నాడు .
1026,f,సోములుకు అలివేలుకు కోపంగా ఉంది .
1027,,ఇదంతా యాదగిరి పనే NULL .
1028,any,మా కొడుకు మాకు కాకుండా చూడాలని .
1029,,మీరే మందు తినిపించారు .
1030,,అని బాధలో అన్నారు .
1031,any,దవాఖానాకు తీసుకుపోవాలి .
1032,m,విబూదికి నయం కాదు . అని యాదగిరి ఎంతో బతిమాలాడు .
1033,m,యాదగిరి బతిమాలాడు .
1034,f,మీ దవాఖానా అవసరం లేదు .
1035,,మా ఊరి దాసుకు చూపెడతాను .
1036,,దాసు చేతివాటం మంచిది NULL .
1037,m,విబూది పెడతాడు .
1038,f,ఏదయినా సోకితే తొందరగా నయం అవుతుంది .
1039,f,మందు పెడితే వెంటనే తెలిసిపోతుంది .
1040,,మా దాసుకు అంత మహిమ ఉన్నది .
1041,m,అని సోములు అన్నాడు .
1042,m,సోములు దాసుకు అంతా తెలిపాడు .
1043,m,వాడు రమను గోపాలంను పిలిచాడు .
1044,m,ముగ్గు వేశాడు .
1045,m,ఏదేదో అన్నాడు .
1046,m,కూచోబెట్టాడు .
1047,m,ఇట్లా రోజంతా చేశాడు .
1048,m,వాటిని మూట కట్టాడు ముగ్గులో ఉంచాడు .
1049,m,ఇంకా చదువుతున్నాడు .
1050,,గోపాలం బాగా నీరసపడి .
1051,,అందుకే తూలుతున్నారు .
1052,f,పదకొండు దాటింది వాడు ఇక అయిపోయింది .
1053,,నేను పోతున్నాను .
1054,any,ఈ మూటను మూడు రోజులు కదిలించకూడదు .
1055,,విబూది ఉన్నది .
1056,any,నాలుగవ రోజు అది తినాలి .
1057,m,తగ్గిపోతుంది . అని వెళ్లిపోయాడు .
1058,any,గోపాలంకు నీరసం తగ్గలేదు .
1059,f,రోజు రోజుకు పెరిగింది .
1060,f,మూడు రోజులు అయింది .
1061,,నాలుగవ రోజు మూట తీశారు .
1062,,కానీ రమ నగలు కనిపించలేదు .
1063,,అందరూ లబోదిబోమన్నారు .
1064,m,సోములు దాసు పోయాడు .
1065,m,ఉరంతా చూశాడు .
1066,any,దాసు కనిపించలేదు .
1067,,ఇల్లు ఖాళీ చేశాడు . అని చెప్పారు .
1068,any,సోములుకు నోట మాట రాలేదు .
1069,n,అటు నగలు పోయాయి .
1070,any,ఇటు గోపాలంకు తగ్గలేదు .
1071,f,దాసు మోసం తెలిసింది .
1072,f,సోములు అనుమానం తీరింది .
1073,f,రమకు భయం భయంగా ఉంది .
1074,f,నాయనను పిలిపించింది .
1075,m,యాదగిరి సోములును సముదాయించాడు .
1076,m,చివరకు ఒప్పించాడు .
1077,,గోపాలంను దవాఖానాలో చూపెట్టారు .
1078,f,రోగం ముదిరింది .
1079,,ఇంతదాకా ఏమి చేశారు .
1080,any,శరీరంలో బలం లేకుండా .
1081,,మీ నమ్మకాలతో కోలుకోకుండా . అని దవాఖానాలో తిట్టారు .
1082,m,సోములు ఎంతో బతిమాలాడు .
1083,,దవాఖానాలో సరయిన మందులు వాడారు .
1084,f,కొన్ని రోజులకు నయం అయింది .
1085,,దీంతో సోములుకు మోసం తెలిసివచ్చింది
1086,,నా పేరు వెంకటేశు NULL .
1087,,మా ఊరు పతంగి NULL .
1088,f,పతంగిలో నాకు ఒక దుకాణం ఉంది .
1089,,రాజలింగుది మా ఊరే NULL .
1090,,మేం ఎదురెదురుగా ఉంటాం .
1091,f,రాజలింగుకు దుకాణం ఉంది .
1092,,నేనంటే అసూయ NULL .
1093,,నాతో పోటీపడేవాడు .
1094,,నాకంటే బాగా సంపాదించాలని ఆశ NULL .
1095,,పనిలేనివారిని చేరదీసేవాడు .
1096,any,సరుకులు కొనడానికి తెలివి కావాలి .
1097,any,అమ్మడానికి తెలివి కావాలి .
1098,,దురాశ పనికి రాదు . అని నేను రాజలింగుతో అన్నాను .
1099,,అయినా రాజలింగు నా మాట వినలేదు .
1100,,ఒకసారి నేను మిరపకాయలు కొన్నాను .
1101,,పంట కాలంలో కొన్నాను .
1102,,పది సంచులు కొన్నాను .
1103,,బాగా ఎండిన తరవాత దాచాను .
1104,,ఏడాది గదిలో ఉంచాను .
1105,any,మరుసటి ఏడు పంటలు పండలేదు .
1106,any,మిరప పంట సరిగా రాలేదు .
1107,f,అనుకోకుండా మిరపకాయల ధర పెరిగింది .
1108,f,బాగా పెరిగింది .
1109,f,నేను కొన్నదానికి మూడింతలు పెరిగింది .
1110,,నా పదిసంచులు అమ్మాను .
1111,,మంచి లాభం గడించాను .
1112,f,ఇది నోట ఈ నోట పాకింది .
1113,f,రాజలింగుకు తెలిసింది .
1114,any,తెలివిగా సంపాదించాలి .
1115,any,సరుకు కొని నిలవ ఉంచాలి .
1116,m,వంద ఉప్పు సంచులు ఖరీదు చేశాడు .
1117,m,ఇంటికి చేరవేశాడు .
1118,m,ఒక గదిలో సంచులు ఉంచాడు .
1119,m,తాళం వేశాడు .
1120,n,ఆరు నెలలు గడిచాయి .
1121,m,రాజలింగు ఒకసారి తాళం తీసిచూశాడు .
1122,n,సంచులు బాగా తడిసిపోయాయి .
1123,,సగం సంచులు పాడయినవి .
1124,f,సగం ఉప్పు కరిగిపోయింది .
1125,,ఆ ఏడు బాగా వానలు కురిశాయి .
1126,,అందుకే గదిలో తడి చేరింది .
1127,n,సంచులు తడిసిపోయాయి .
1128,m,రాజలింగు లబోదిబోమన్నాడు .
1129,m,చేసేది మిగిలింది అమ్మాడు .
1130,,పది సంచుల పసుపుని ఆరు నెలలు ఉంచాను .
1131,f,నాలుగింతలు లాభం చేకూరింది .
1132,,ఆ పైసలతో మా ఇంటామెకు నగలు చేయించాను .
1133,f,ఈ విషయం రాజలింగుకు తెలిసింది .
1134,f,రాజలింగుకు కంటిమీద కునుకు లేదు .
1135,,నగలు కావాలని ఇంటామె ఒకటే పోరు NULL .
1136,m,రాజలింగు ఈ సారి ఉల్లిపాయలు కొని దాచాడు .
1137,,ఒకటే మురుగు వాసన NULL .
1138,n,ఉల్లిపాయలు మురిగిపోయాయి .
1139,n,ఎండలకు ఉల్లిపాయలు పాడయిపోయాయి .
1140,m,చేసేది ఉల్లిపాయలు పారవేశాడు .
1141,,పేరుకు రెండు గేదెల పాడి కాని రోజుకు లీటరు పాలు రావు .
1142,,ఇప్పుడు ఒకటి పాడిది NULL .
1143,,ఒకటి చూడిది NULL .
1144,m,రాములు పాలు తానే పితుకుతాడు .
1145,m,గేదెలను మేపుతాడు .
1146,any,అయినా పాడి పెరగలేదు .
1147,m,రోజు ఉదయం ఎండుగడ్డి పెడతాడు .
1148,m,ఒకసారి కుడితి పెడతాడు .
1149,m,ఇంకోసారి పచ్చిమేత పెడతాడు .
1150,any,అయినా పాలు పెరగలేదు .
1151,any,రాములుకు ఏం తోచలేదు .
1152,f,ఎండుగడ్డి మంచి ఆహారం కాదు .
1153,,అది కడుపు నిండుతుంది . కానీ అందులో పోషకవిలువలు లేవు .
1154,,దానిలో పాల దిగుబడి గుణంలేదు .
1155,any,పాలు పెరగాలంటే - పాడి పశువుల మేత సరఐన మోతాదులో ఉండాలి .
1156,any,ఆ మేతలో అన్ని రకాల పోషకాలు ఉండాలి .
1157,,ఇదే ఫీడు NULL .
1158,any,దాణాలో దినుసులు బాగా ఉండాలి .
1159,any,దానిలో మొక్కజొన్న ఉండాలి .
1160,any,పప్పుల పొడి తవుడు ఉండాలి .
1161,any,గోధుమ తవుడు ఉండాలి .
1162,any,ఫీడు ఎలా తయారు చేయాలి - దాణాను కొలతలతో పెట్టాలి .
1163,any,అన్ని పశువులకు ఒకేలాగా ఉండకూడదు .
1164,any,పాడి గేదెలకు ఒక రకంగా ఉండాలి .
1165,any,చూడి గేదెలకు ఒక రకంగా ఉండాలి .
1166,any,ఆవులకు ఒక రకంగా ఉండాలి .
1167,any,ఎద్దులకు ఒకరకంగా ఉండాలి .
1168,any,రకరకాలుగా ఉండాలి .
1169,any,పశువు వయసును చూడాలి .
1170,any,బరువును చూడాలి .
1171,any,గడ్డిని ముక్కలుగా చేయాలి .
1172,any,పశువులకు పెట్టాలి .
1173,any,పాడి పశువులను కడగాలి .
1174,any,పదికిలో దాణాలో మూడుకిలోల మొక్కజొన్నలు ఉండాలి .
1175,any,రెండు కిలోల పల్లిచెక్క ఉండాలి .
1176,any,ఖనిజ లవణాలు ఒక కిలో ఉండాలి .
1177,any,ఉప్పు ఒక కిలో ఉండాలి .
1178,n,ఇలా పాలు పెరుగుతాయి .
1179,any,చూడి గేదెలకు ఫీడు ఎలా పెట్టాలి ?
1180,any,చూడి గేదెలకు ఫీడు పోవాలి .
1181,any,ముందు రెండింతలు పెట్టాలి .
1182,any,మూడు మాసాల ముందు రెండింతలు పెట్టాలి .
1183,any,మూడు రోజుల ముందు ఫీడు ఆపాలి .
1184,any,బాగా పచ్చిమేత పెట్టాలి .
1185,any,నూనె చెక్కలతో మేపకూడదు .
1186,f,తవుడు అసలు పనికిరాదు .
1187,any,దూడలకు మెత్తని మేత పెట్టాలి .
1188,any,దూడల బరువు తెలుసుకుంటూ .
1189,any,నెమ్మదిగా దాణాకు అలవాటు చేయాలి .
1190,any,ఎండుగడ్డికి అలవాటు చేయాలి .
1191,any,దాణాలో పోషక విలువలను ఎలా పెంచాలి ?
1192,,కొందరు యూరియాను తీసుకుంటారు .
1193,,లేకుంటే అమోనియాను తీసుకుంటారు .
1194,,నీళ్లలో కలుపుతారు .
1195,,ఇలా నీళ్లను చల్లుతారు .
1196,,గడ్డి కుప్పలమీద బాగా చల్లుతారు .
1197,,తరువాత ఆ గడ్డి కుప్పలను తీసుకుంటారు .
1198,,పెద్ద తొట్టిలాంటి దానిలో పెడతారు .
1199,,మీద బరువు పెడతారు .
1200,,అణగ పెడతారు .
1201,,ఇలా కొన్ని రోజులు ఉంచుతారు .
1202,f,ఇలా ప్రోటీను శాతం పెరుగుతుంది .
1203,,కాని గాలి చొరకుండా చూడాలి .
1204,f,అప్పుడే ప్రొటీను శాతం పెరుగుతుంది .
1205,f,లేకుంటే తగ్గిపోతుంది .
1206,,కొత్తగా ఒక డబ్బాను తయారు చేశారు .
1207,,చొప్పను ఇందులో ఉంచుతారు .
1208,,అమోనియాను గ్యాసుగా లోపలికి పంపుతారు .
1209,,ఇలా 14 రోజులు మూసి ఉంచుతారు .
1210,n,ఇలా గడ్డి పోషకవిలువలు పెరుగుతాయి .
1211,f,14 రోజులకు ప్రోటీను శాతం తగ్గుతుంది .
1212,any,ఇలా అమోనియాతో దాణా ప్రోటీను విలువ పెంచవచ్చు .
1213,any,మూడింతలు పెంచవచ్చు .
1214,any,ఈ దాణాను 6 నెలల నిలవ ఉంచవచ్చు .
1215,f,ఇందులో నత్రజని శాతం ఎక్కువ ఉంటుంది .
1216,,బతుకుతెరువుకోసం పట్నం చేరారు .
1217,,పట్నం చేరేనాటికి సీతాలుకు ఇద్దరు పిల్లలు NULL .
1218,f,సీతాలుకు చిన్న వయస్సులో పెళ్లయింది .
1219,f,కానుపులకు తగ్గట్టు బలమైన తిండి లేదు .
1220,,రోజు మొదట పిల్లలకు తిండి పెట్టేది .
1221,f,మిగిలితే తాను తినేది .
1222,,లేకపోతే పస్తులు పడుకునేది .
1223,f,అందుకే అప్పుడే ముసలిదానిలా తయారయింది .
1224,f,నడుం వంగిపోయింది .
1225,,ఈ నడుమ సీతాలు ఎప్పుడూ నీరసంగా ఉంటున్నది .
1226,f,ఆకలి ఉండదు .
1227,f,ఏ పని చేయ చేతకాదు .
1228,,మొదట్లో కొంచెం దగ్గు వచ్చేది .
1229,f,ఎప్పుడూ ఖళ్లుఖళ్లుమని దగ్గుతూ ఉంటుంది .
1230,any,రాములుకు ఏం చెయ్యాలో తోచడం .
1231,m,డాక్టరు సీతాలును పరీక్ష చేశాడు .
1232,m,ఛాతీ ఫోటో తీయించి చూశాడు .
1233,m,ఉమ్మి పరీక్షకు పంపి చూశాడు .
1234,m,చివరకు సీతాలుకు క్షయ రోగం అని చెప్పాడు .
1235,any,రాములుకు ఏడుపు ఆగలేదు .
1236,m,డాక్టరు రాములును ఊరడించాడు .
1237,f,ఇప్పుడు ఆ భయం లేదు .
1238,f,రోగం నయమవుతుంది .
1239,any,సీతాలుకు జబ్బు ముదరలేదు .
1240,,కానీ చాలా రోజులు మందులు తీసుకోవాలి .
1241,,మందుల ఖరీదు ఎక్కువే NULL .
1242,,అని డాక్టరుగారు చెప్పారు .
1243,f,మా సీతాలుకే ఈ జబ్బు ఎందుకు వచ్చింది .
1244,f,సీతాలు చాలా బలహీనంగా ఉంది .
1245,,బరువు చాలా తక్కువ NULL .
1246,f,ఆమె శరీరంలో రోగాన్ని తట్టుకునే శక్తి తగ్గిపోయింది .
1247,f,అందుకే ఈ జబ్బు ఆమెకి వచ్చింది .
1248,f,ఈ జబ్బు పెద్ధవాళ్లకే వస్తుందా ?
1249,,పిల్లలకు రావచ్చా ?
1250,f,పెద్దా చిన్నా లేదు .
1251,any,అందరికీ రావచ్చు .
1252,any,చంటిపిల్లలకు ఇది ఎక్కువ రావచ్చు .
1253,any,పిల్లలకు వెన్నెముకలో ఇది వస్తే గూని రావచ్చు .
1254,,ఆరోగ్యంగా ఉన్న పిల్లలు ఈ జబ్బు రాకుండా తట్టుకోగలరు .
1255,any,తక్కువ బరువుతో పుట్టిన పిల్లలకు ఈ జబ్బు రావచ్చు .
1256,any,ఈ జబ్బు రాకుండా పిల్లలకు టీకాలు ఇప్పించాలి
1257,n,ఈ టీకాలు అన్ని ఆసుపత్రుల్లో దొరుకుతాయి .
1258,any,ఈ టీకాను పుట్టగానే ఇప్పించాలి .
1259,f,క్షయ ఒకరి మరొకరికి అంటుకుంటుందా ?
1260,n,ఈ పురుగులు కంటికి కనపడవు .
1261,n,క్షయ ఉన్నవాళ్లు దగ్గినపుడు ఇవి గాలిలో చేరతాయి .
1262,n,ఉమ్మి గాలిలో చేరతాయి .
1263,any,ఈ గాలిని పీల్చినవారికి క్షయ రావచ్చు .
1264,,డాక్టరు మందులు రాసిచ్చాడు .
1265,m,రాములు సీతాలును ఇంటికి తీసుకువచ్చాడు .
1266,f,కోడలు అత్తను ఏపని చేయనీయలేదు .
1267,any,సీతాలుకు తీరిక దొరికేటట్టు .
1268,,అవిసెల నూనె తీస్తారు .
1269,f,కాని అవిసె నూనె వంటకు పనికిరాదు .
1270,,ఈ నూనెను ఎక్కువగా పరిశ్రమలలో వాడతారు .
1271,,వార్నీస్లు మరియు ఇతర రంగుల తయారీలో ఎక్కువగా వాడుతున్నారు .
1272,f,నూనె తీసిన మిగిలే పొట్టు ఎరువుగా ఉపయోగపడుతుంది .
1273,f,ఈ పంటను మన రాష్ట్రంలో ఎక్కువగా పండించడం ఎంతైనా అవసరం ఉంది .
1274,,పంటకాలం - నేలలు అవిసె పంట ముఖ్యంగా రబీ పంట .
1275,,దీని పంటకాలం సుమారు 4 నెలలు .
1276,f,అక్టోబరు రెండవ వారంలో నాటితే ఫిబ్రవరి రెండవ వారంలో కోతకు వస్తుంది .
1277,any,ఈ పంటను అన్నిరకాల నేలల్లోను పండించవచ్చు .
1278,n,ఎక్కువ నీళ్లు నిలిచి నేలలు ఈ పంటకు పనికిరావు .
1279,any,ఈ విత్తనాలు ఒక హెక్టారుకు 30 కిలోగ్రాములు కావాలి .
1280,n,దీనివల్ల గింజలు బాగా మొలకెత్తుతాయి .
1281,any,రోగాల బారినుండి కాపాడుకోవచ్చు .
1282,any,ఒక కిలోగ్రాము అవిసె విత్తనాలకు ఒకటిన్నర గ్రాముల బావిస్టన్ మందు కలపాలి .
1283,,లేకుంటే 3 గ్రాముల థైరామ్ _ మందు కలపాలి .
1284,any,దీని విత్తనాల వచ్చే రోగాలను అరికట్టివచ్చు .
1285,any,విత్తనాలు వేసే పద్ధతి అవిసె పంట వేసే ముందు నేలను 2 లేక 3 సార్లు దున్నాలి .
1286,any,మొక్కలు ఎదగాలంటే జానెడు లోతు దున్నాలి .
1287,any,అవిసె పంటను చాళ్లలో వేయవలసి .
1288,any,దీనివల్ల శనగ పంటకు పట్టే వేరుకుళ్లు తెగులు మరియు ఎండుతెగులును అరికట్టవచ్చు .
1289,n,అవిసెను కుసుమ పంటతో అంతరపంటగా వేసినప్పుడు ఎక్కువ లాభాలు వస్తాయి .
1290,any,నల్ల రేగడి భూములలో భూసార పరీక్ష చేయించిన అవసరమైతే 40 కిలోగ్రామ్ల పొటాషియం వాడవలసి .
1291,any,ఈ పంటకు సాధారణంగా 35 రోజులకు మొదటిసారి నీరు పెట్టాలి .
1292,any,ఆ తరవాత అవసరమయితే మరొకసారి కలుపు తియ్యాలి .
1293,any,హెక్టారుకు 600 లీటర్లు వాడాలి .
1294,any,ఆ తరవాత 15 రోజులకు అవసరాన్ని మరొకసారి పిచికారీ చెయ్యాలి .
1295,f,అక్టోబరు మొదటివారంలో పిచికారీ చేస్తే అసలు పురుగు పట్టదు .
1296,n,వేరుకుళ్ల వ్యాధి మరియు బూడిద తెగులు ఈ పంటను ఎక్కువగా నాశనం చేస్తాయి .
1297,,పాత రకం విత్తనాలు ఈ వ్యాధులను .
1298,m,తాను వచ్చేస్తాడు .
1299,any,ఒక పెద్ద మనిషికి నేను అప్పు తీర్చలేదు .
1300,m,అని రాసినాడు .
1301,,నువ్వు మొత్తం వయస్సంతా పరదేశంలోనే గడిపావు .
1302,any,ఇప్పుడు వచ్చి ఇల్లు నిలబెట్టుకో .
1303,,అందరికి కొడుకులు సంపాదిస్తున్నారు .
1304,,నేను ఒక్కదానినే ముసలిదానిని చస్తున్నాను .
1305,any,ఎవరూ రాలేదు .
1306,any,ఉత్తరం రాలేదు .
1307,,అతను ఇంకో పెళ్లి చేసుకున్నాడని విన్నాను .
1308,,నేను అతనికి ఉత్తరం రాయించాను -
1309,,నీవు చాలా చెడ్డ పని .
1310,,బహుశా మంచి పనే చేసావేమో .
1311,,నాకు కొంచెం తిండి పెట్టండి .
1312,,నేను అలసిపోయాను .
1313,,"ఇప్పుడు పశువుల పని , పొలం పని ఏమిచేయలేకపోతున్నాను ."
1314,f,నా వయస్సు ఉడిగిపోయింది .
1315,,అతని చాలా భరించాను .
1316,,ఇప్పుడు అతన్ని తీసుకు వెళ్దామని వచ్చాను .
1317,,అతన్ని వెదికి చెబుతాను .
1318,any,ఇంటికి ఎందుకు చెప్పని ?
1319,,ఇంటిని ఎందుకు పాడుచేశావని ?
1320,,ఇక నడువు .
1321,f,ఇంక ఏమి లేదు .
1322,,మనకి పిల్లలు లేరు .
1323,any,మనం నాలుగు రోజులు కలసి .
1324,,ఎవరు ముందర చనిపోతే తరువాతవాళ్లు ఇంత మట్టి వేస్తారు .
1325,,ఆమెను అడిగాను .
1326,,ఆమె తలూపి అవునంది .
1327,f,ఆమె మనస్సులో ఇప్పటికీ ఉత్సాహం ఉంది .
1328,,"బహుశా ఆమె అతనిని పెండ్లికొడుకుని అలంకరించినట్లు , అలంకరించి తీసుకుపోవాలనుకుంటుంది ."
1329,,కత్తి నీవు ఏం చేసుకుంటావు ? అన్నాను .
1330,f,ఆమె నిశ్శబ్దంగా ఉండిపోయింది .
1331,f,ఆమె జవాబు చెప్పింది - ఫజ్జా నా మొత్తం జీవితం నాశనం చేసాడు .
1332,,నేను అతని చాలా భరించాను .
1333,,వాడి నేను సంతానహీనురాలిని అయినాను .
1334,any,ఇప్పుడు అతను నాతో రావాలి .
1335,,రాకపోతే నేను అతన్ని అంతం చేస్తాను .
1336,,విని నేను హడలిపోయాను .
1337,m,ఫీర్హుస్సేను ఆమె కత్తిని పెట్టెలో పెట్టాడు .
1338,,ఫజ్జాని వెతకటం మొదలుపెట్టాం .
1339,,పట్టణంలో ఉన్న రౌడీలను అందరిని గాలించాం .
1340,m,వారిలో ఫాజ్జా ఉన్నాడు .
1341,,తెలుసుకోవడానికి ఆమెను ఆమె భర్త గుర్తులు అడిగాము .
1342,f,ఆమె చెప్పింది - చూడటానికి చాలా బాగుంటాడు .
1343,n,మంచి గడ్డం మీసం ఉన్నాయి .
1344,f,అప్పుడు తెలిసింది .
1345,f,ఈ విషయం రఫియాతో చెప్పవలసింది .
1346,,షాహెబును కలిసాము .
1347,,సిఫారసు చేయించాము .
1348,,ఫజ్జాకి జమానత్ ఇప్పించాము .
1349,,ఫజ్జాను విడిగా కలిసాం .
1350,,ఇప్పుడు ఇంటికి పోయి సుఖంగా ఉండటానికి ఏర్పాట్లు చేస్తామని చెప్పాం .
1351,,కానీ వాళ్లిద్దరూ ఒకరికొకరు గుర్తుపట్టలేక .
1352,m,ఫీర్హుస్సేన్ వారిద్దరిని పరిచయం చేసాడు .
1353,any,చాలాసేపటి రఫియా మాట్లాడ .
1354,any,ఆమె ముఖం ఒక మాట రాలేదు .
1355,any,ఫజ్జా జుట్టు తెల్లబడి .
1356,f,నుదురు ముడుతలు పడిపోయింది .
1357,,కళ్లు చిన్నవయినాయి .
1358,n,పళ్లు ఊడిపోయినాయి .
1359,any,ఆమె ఈ ఫజ్జాను గుర్తుపట్టలేక .
1360,f,ఇతని తన పూర్తి జీవితాన్ని అంకితం చేసింది .
1361,f,ఆమె ఒక నిట్టూర్పు విడిచింది .
1362,f,తల ఆడించింది .
1363,f,దుప్పటితో మొహం కప్పుకుంది .
1364,any,చాలాసేపటి ఏడుస్తూనే .
1365,m,సాయంత్రానికి ఫీర్హుస్సేన్ ఆమెను సముదాయించాడు .
1366,m,ఫజ్జాను తీసుకుని ఇంటికి వెళ్లిపొమ్మని చెప్పాడు .
1367,n,ఆమె కనుల అగ్ని కణాలు బయటకు వస్తున్నాయి .
1368,f,ఆమె తిడుతూ చెప్పింది .
1369,m,ఈ మోసగాడు నన్ను నాశనం చేసాడు .
1370,any,"నేను వీడి మొహం చూడను "" అని అంది ."
1371,f,"తన మూట , దుప్పటి తీసుకొని బయటకు నడిచింది ."
1372,,"నేను ఏమి చెప్పలేకపోయాను ,"
